,SupCon
0,4.791025638580322
1,4.554120063781738
2,4.411966323852539
3,4.171138763427734
4,3.9861202239990234
5,4.0703630447387695
6,3.6959846019744873
7,3.829139471054077
8,3.770441770553589
9,3.924302101135254
10,3.7437427043914795
11,3.4496021270751953
12,3.718522071838379
13,3.6826131343841553
14,3.3698902130126953
15,3.5023131370544434
16,3.2663378715515137
17,3.4829483032226562
18,3.368129253387451
19,3.061295986175537
20,3.1014487743377686
21,3.0874602794647217
22,3.033940076828003
23,2.934058904647827
24,3.0779378414154053
25,2.8905234336853027
26,3.037534236907959
27,3.2814059257507324
28,3.192474842071533
29,2.687868595123291
30,3.076648712158203
31,2.9592437744140625
32,2.8969340324401855
33,2.863563060760498
34,3.0407426357269287
35,2.8677115440368652
36,2.897176504135132
37,2.8654541969299316
38,2.7457854747772217
39,2.7423808574676514
40,3.0588932037353516
41,2.642441987991333
42,2.6305816173553467
43,2.634216785430908
44,2.772531270980835
45,2.5820789337158203
46,2.6817281246185303
47,2.6053473949432373
48,2.5804219245910645
49,2.4415624141693115
50,2.4259800910949707
51,2.5324485301971436
52,2.5428318977355957
53,2.6166834831237793
54,2.3792564868927
55,2.5779027938842773
56,2.4478487968444824
57,2.451420783996582
58,2.496447801589966
59,2.462095022201538
60,2.3738770484924316
61,2.632823944091797
62,2.501128911972046
63,2.524167537689209
64,2.6231584548950195
65,2.5627920627593994
66,2.633554458618164
67,2.460622787475586
68,2.5508127212524414
69,2.4084479808807373
70,2.4261746406555176
71,2.2849652767181396
72,2.2531850337982178
73,2.398897171020508
74,2.2371935844421387
75,2.2650866508483887
76,2.3554930686950684
77,2.2743773460388184
78,2.335620403289795
79,2.373448133468628
80,2.2773241996765137
81,2.3363869190216064
82,2.253587245941162
83,2.2719695568084717
84,2.38557767868042
85,2.3213999271392822
86,2.4300646781921387
87,2.257070779800415
88,2.3720932006835938
89,2.2699296474456787
90,2.307746410369873
91,2.2046008110046387
92,2.2571940422058105
93,2.395561695098877
94,2.4114809036254883
95,2.1469011306762695
96,2.2256016731262207
97,2.250545024871826
98,2.319157361984253
99,2.197146415710449
100,2.2770285606384277
101,2.192080497741699
102,2.443660020828247
103,2.188809871673584
104,2.293947696685791
105,2.239129066467285
106,2.2934188842773438
107,2.232468605041504
108,2.2186076641082764
109,2.235945224761963
110,2.2285115718841553
111,2.038954496383667
112,2.2981369495391846
113,2.2561516761779785
114,2.084437370300293
115,2.1338350772857666
116,2.119046211242676
117,2.132899761199951
118,2.1934585571289062
119,2.29685378074646
120,2.232410192489624
121,2.1005825996398926
122,2.106938362121582
123,2.152236223220825
124,2.086944580078125
125,2.258897542953491
126,2.2123796939849854
127,2.290745258331299
128,2.100999593734741
129,2.1257758140563965
130,2.0954136848449707
131,2.221863269805908
132,2.126088857650757
133,2.1208078861236572
134,2.2039756774902344
135,2.0943894386291504
136,2.0981950759887695
137,2.103151321411133
138,2.106440544128418
139,2.2995429039001465
140,2.094400405883789
141,2.0789732933044434
142,2.0683693885803223
143,2.03375244140625
144,2.0370569229125977
145,2.286407470703125
146,2.235417366027832
147,2.1021604537963867
148,2.22585391998291
149,2.2734365463256836
150,2.0478649139404297
151,2.147989273071289
152,2.0337584018707275
153,2.105031967163086
154,2.019613742828369
155,1.965991735458374
156,2.0595602989196777
157,2.166476249694824
158,2.112757682800293
159,2.1092751026153564
160,2.014296054840088
161,2.0077672004699707
162,2.0871503353118896
163,2.0696732997894287
164,1.9199384450912476
165,2.126610517501831
166,2.0772712230682373
167,1.9316309690475464
168,2.0738167762756348
169,2.136871576309204
170,1.9479408264160156
171,2.0966835021972656
172,2.0085036754608154
173,2.1413660049438477
174,2.108959674835205
175,2.0257489681243896
176,2.0865046977996826
177,2.033050298690796
178,1.9551604986190796
179,2.085765838623047
180,2.1806564331054688
181,1.9559032917022705
182,2.0612618923187256
183,2.0107245445251465
184,1.9586262702941895
185,2.071836471557617
186,2.174591064453125
187,2.097292184829712
188,1.9376511573791504
189,1.9399455785751343
190,1.950077772140503
191,1.9765031337738037
192,2.125075340270996
193,2.056976795196533
194,1.926270842552185
195,2.061262607574463
196,1.8625611066818237
197,1.8974950313568115
198,1.9178602695465088
199,1.9568876028060913
200,2.0199804306030273
201,1.865971565246582
202,1.9845826625823975
203,2.0424413681030273
204,1.9198122024536133
205,1.923781156539917
206,2.057565212249756
207,2.031749725341797
208,2.0538973808288574
209,2.0431652069091797
210,1.9949300289154053
211,2.0068182945251465
212,1.915175437927246
213,1.9487483501434326
214,1.9449756145477295
215,1.9170783758163452
216,1.984961748123169
217,1.8829550743103027
218,1.9664620161056519
219,1.9661366939544678
220,1.9473817348480225
221,1.9545986652374268
222,1.9545886516571045
223,2.0541512966156006
224,1.8702367544174194
225,1.9683425426483154
226,2.0458686351776123
227,2.006831645965576
228,2.010072708129883
229,1.9519217014312744
230,2.0403435230255127
231,1.959018588066101
232,2.021794319152832
233,1.9467525482177734
234,1.9009383916854858
235,2.0206823348999023
236,1.984792709350586
237,1.9922881126403809
238,1.8617823123931885
239,2.053210735321045
240,1.9834516048431396
241,1.9939489364624023
242,1.8532376289367676
243,1.9270339012145996
244,1.9119606018066406
245,1.980269193649292
246,1.9273476600646973
247,1.9847908020019531
248,1.9062983989715576
249,1.9099143743515015
250,2.016939401626587
251,1.9828513860702515
252,2.091493606567383
253,1.9972014427185059
254,2.0162193775177
255,1.891410231590271
256,1.95488440990448
257,1.9625089168548584
258,1.8567603826522827
259,1.967302680015564
260,1.8764522075653076
261,1.9271669387817383
262,1.8541603088378906
263,1.9949735403060913
264,2.0943307876586914
265,1.8481168746948242
266,1.9960899353027344
267,1.9061250686645508
268,1.9562609195709229
269,1.8340352773666382
270,1.827915906906128
271,2.0688610076904297
272,1.8832054138183594
273,1.9092509746551514
274,1.9506863355636597
275,1.8815749883651733
276,1.9693036079406738
277,1.9460124969482422
278,2.0294222831726074
279,1.9530994892120361
280,1.9951739311218262
281,1.8868348598480225
282,1.9644923210144043
283,1.9968407154083252
284,1.8735402822494507
285,1.9518613815307617
286,1.8322466611862183
287,1.9315450191497803
288,1.9963020086288452
289,1.8985141515731812
290,1.9298114776611328
291,1.9083237648010254
292,1.8280436992645264
293,1.9074296951293945
294,2.0138938426971436
295,1.921097993850708
296,1.9184339046478271
297,2.002023696899414
298,1.904275894165039
299,2.012516498565674
300,1.9173657894134521
301,1.9713934659957886
302,1.9074485301971436
303,1.8732460737228394
304,1.8843743801116943
305,1.9007976055145264
306,1.867781639099121
307,1.8761157989501953
308,1.9362696409225464
309,1.8932923078536987
310,1.9653422832489014
311,1.8788609504699707
312,1.8830440044403076
313,1.8350551128387451
314,1.921233892440796
315,1.842961311340332
316,1.8833221197128296
317,1.8971046209335327
318,1.8464025259017944
319,1.8912241458892822
320,1.8775732517242432
321,1.8787120580673218
322,1.9166841506958008
323,1.8600438833236694
324,1.8248714208602905
325,1.9049673080444336
326,1.9850082397460938
327,1.9234747886657715
328,1.8442516326904297
329,1.8610363006591797
330,2.0186264514923096
331,1.8485734462738037
332,1.7922725677490234
333,1.888655662536621
334,1.853314757347107
335,1.9281196594238281
336,1.8883438110351562
337,1.8269761800765991
338,1.880784034729004
339,1.8293015956878662
340,1.9404709339141846
341,1.8282701969146729
342,2.0457069873809814
343,1.934326171875
344,1.8759177923202515
345,1.8494486808776855
346,1.8903379440307617
347,1.8736324310302734
348,1.8926609754562378
349,1.7955206632614136
350,1.892688274383545
351,1.8422808647155762
352,1.835914969444275
353,1.9266923666000366
354,1.930241346359253
355,1.9277634620666504
356,1.9261603355407715
357,1.8825238943099976
358,1.938604712486267
359,1.8695977926254272
360,1.8500404357910156
361,1.8838438987731934
362,1.885174036026001
363,1.9003510475158691
364,1.8372926712036133
365,1.8209441900253296
366,1.847659945487976
367,1.9152657985687256
368,1.7939852476119995
369,1.8701776266098022
370,1.9721559286117554
371,1.8483513593673706
372,1.813620924949646
373,1.9352209568023682
374,2.0075135231018066
375,1.8819022178649902
376,1.9052314758300781
377,1.9782421588897705
378,1.8259484767913818
379,1.9044759273529053
380,1.857081651687622
381,1.8511050939559937
382,1.9425877332687378
383,1.8740705251693726
384,1.8826947212219238
385,1.9358291625976562
386,1.8509776592254639
387,1.8784840106964111
388,1.9332565069198608
389,1.8615983724594116
390,1.859326720237732
391,1.8906209468841553
392,1.8588865995407104
393,2.0143914222717285
394,1.86089026927948
395,1.8260992765426636
396,1.8433301448822021
397,1.8654232025146484
398,1.8591212034225464
399,1.8637301921844482
400,1.8731801509857178
401,1.808079719543457
402,1.8618229627609253
403,1.8997644186019897
404,1.898966670036316
405,1.8564532995224
406,1.8925080299377441
407,1.8930518627166748
408,1.8538787364959717
409,1.9128448963165283
410,1.8348296880722046
411,1.7618516683578491
412,1.8478745222091675
413,1.9131622314453125
414,1.8681304454803467
415,1.8525605201721191
416,1.9234994649887085
417,1.8803119659423828
418,1.8162615299224854
