,SupCon,Recon
0,4.166852951049805,3.5156078338623047
1,3.994180679321289,3.4142560958862305
2,4.073386192321777,3.2974605560302734
3,4.262877464294434,3.2192420959472656
4,4.337671756744385,3.0778515338897705
5,4.187863826751709,2.988762378692627
6,4.284357070922852,2.9536731243133545
7,4.247169494628906,2.902831554412842
8,4.376524448394775,2.847778081893921
9,4.372840404510498,2.8374555110931396
10,4.3676958084106445,2.7276501655578613
11,4.3216753005981445,2.7307050228118896
12,4.350855350494385,2.6791467666625977
13,4.406350135803223,2.709392786026001
14,4.3477783203125,2.6199657917022705
15,4.371427536010742,2.558516025543213
16,4.392437934875488,2.611555814743042
17,4.357209205627441,2.559044122695923
18,4.430144309997559,2.5985050201416016
19,4.379806041717529,2.5275824069976807
20,4.364997386932373,2.5930569171905518
21,4.411263465881348,2.572399139404297
22,4.3916168212890625,2.536581039428711
23,4.362130641937256,2.5334062576293945
24,4.375471115112305,2.433196783065796
25,4.391899585723877,2.5021238327026367
26,4.378260612487793,2.4299910068511963
27,4.455539226531982,2.4052720069885254
28,4.355249404907227,2.493699789047241
29,4.396581172943115,2.443181276321411
30,4.346477508544922,2.3799328804016113
31,4.359817028045654,2.3142776489257812
32,4.389671802520752,2.455547571182251
33,4.305710792541504,2.3853447437286377
34,4.316876411437988,2.3811628818511963
35,4.342156887054443,2.402616262435913
36,4.298226833343506,2.3350768089294434
37,4.3454179763793945,2.394747734069824
38,4.290162086486816,2.321714401245117
39,4.281354904174805,2.238375186920166
40,4.375474452972412,2.3101701736450195
41,4.394495487213135,2.263728618621826
42,4.32032585144043,2.214609384536743
43,4.343027114868164,2.2434463500976562
44,4.381970405578613,2.303474187850952
45,4.316433906555176,2.232670307159424
46,4.216806411743164,2.217756509780884
47,4.324863433837891,2.244856834411621
48,4.232994079589844,2.153395175933838
49,4.247466564178467,2.264307975769043
50,4.164691925048828,2.2113871574401855
51,4.060831546783447,2.188769578933716
52,4.2641496658325195,2.1508195400238037
53,4.332237243652344,2.215165853500366
54,4.250922679901123,2.1349313259124756
55,4.120448112487793,2.168405532836914
56,4.090415000915527,2.083615303039551
57,4.120207786560059,2.1475820541381836
58,4.0802788734436035,2.0729923248291016
59,4.313844680786133,2.160524368286133
60,4.205929279327393,2.1663079261779785
61,4.084649562835693,2.058598756790161
62,4.007328987121582,2.155034303665161
63,4.261331558227539,2.0117616653442383
64,4.018376350402832,2.0943074226379395
65,3.858384847640991,1.9591439962387085
66,4.272948265075684,2.0913963317871094
67,3.885704755783081,1.9949450492858887
68,4.084343910217285,2.106578826904297
69,4.140645503997803,2.061507225036621
70,4.045226573944092,2.1164870262145996
71,4.118454933166504,2.1573808193206787
72,3.8035058975219727,2.0302014350891113
73,4.248428821563721,2.090141534805298
74,4.088210582733154,1.9683111906051636
75,3.810081958770752,1.9849483966827393
76,4.271278381347656,1.9169973134994507
77,4.375202178955078,1.963434100151062
78,5.296712875366211,2.047258138656616
79,4.03247594833374,1.9110350608825684
80,3.6935882568359375,1.937009572982788
81,4.168946743011475,1.981830358505249
82,4.135822772979736,1.9159772396087646
83,3.748547077178955,1.9159666299819946
84,3.9509692192077637,2.015589952468872
85,4.3611955642700195,2.0369813442230225
86,4.301268577575684,1.9577254056930542
87,3.673800230026245,1.8970338106155396
88,4.044382095336914,1.9309993982315063
89,4.170403957366943,1.855701208114624
90,4.780455589294434,1.874699592590332
91,4.893712520599365,1.9396675825119019
92,4.284688472747803,1.9099377393722534
93,4.661185264587402,1.9187839031219482
94,4.0171918869018555,1.9487818479537964
95,5.191896915435791,1.9250937700271606
96,4.1119513511657715,1.949599027633667
97,4.073791027069092,1.9459552764892578
98,4.410715103149414,1.9389686584472656
99,4.881013870239258,1.8898142576217651
100,4.975338935852051,1.9256724119186401
101,4.865841865539551,1.9355952739715576
102,4.6096110343933105,1.8604730367660522
103,4.011971950531006,1.8867788314819336
104,4.391908645629883,1.8694288730621338
105,4.273924827575684,1.8676221370697021
106,5.034387588500977,1.8461902141571045
107,5.33875846862793,1.9229141473770142
108,4.337540626525879,1.827940821647644
109,3.759808301925659,1.9106062650680542
110,5.743241786956787,1.7664183378219604
111,4.826932907104492,1.7658796310424805
112,4.988386154174805,1.7921580076217651
113,4.527781963348389,1.8135757446289062
114,5.184371471405029,1.7936170101165771
115,5.322916507720947,1.8152108192443848
116,3.760951519012451,1.8475923538208008
117,3.4376380443573,1.8126131296157837
118,4.9750566482543945,1.827091932296753
119,4.437122344970703,1.7652387619018555
120,4.442435264587402,1.8272331953048706
121,4.095514297485352,1.8626708984375
122,3.5119967460632324,1.8404481410980225
123,4.568307399749756,1.8550509214401245
124,4.335376739501953,1.8746349811553955
125,4.655261993408203,1.7934575080871582
126,4.451314449310303,1.7884024381637573
127,4.570947170257568,1.743807315826416
128,4.372642517089844,1.7864269018173218
129,4.665022850036621,1.8315882682800293
130,3.8116214275360107,1.7619715929031372
131,4.079709053039551,1.7768481969833374
132,3.9082019329071045,1.8067315816879272
133,4.199918746948242,1.7851855754852295
134,4.5328474044799805,1.8359793424606323
135,3.810424327850342,1.7994403839111328
136,3.655935287475586,1.7369376420974731
137,4.832729339599609,1.738323450088501
138,4.344943523406982,1.810609221458435
139,4.61932897567749,1.841341257095337
140,4.364348411560059,1.7680559158325195
141,4.0602521896362305,1.8087655305862427
142,5.144421577453613,1.7274012565612793
143,4.917562007904053,1.7478938102722168
144,5.3945207595825195,1.8764079809188843
145,4.630192279815674,1.7564595937728882
146,4.113574981689453,1.7941597700119019
147,4.625090599060059,1.7389639616012573
148,5.027443885803223,1.7668817043304443
149,3.3329925537109375,1.8541009426116943
150,4.152154922485352,1.8030507564544678
151,3.627988338470459,1.7087280750274658
152,4.090275287628174,1.7406936883926392
153,5.570732116699219,1.6244648694992065
154,4.999868392944336,1.8021492958068848
155,3.336921215057373,1.7078617811203003
156,5.390931129455566,1.7813169956207275
157,5.010272979736328,1.8118306398391724
158,4.718376159667969,1.7600317001342773
159,3.9128804206848145,1.691760778427124
160,4.668905258178711,1.7423129081726074
161,4.206225395202637,1.712642788887024
162,4.674815654754639,1.7818132638931274
163,4.285393714904785,1.7416486740112305
164,4.9517669677734375,1.7698897123336792
165,4.119845867156982,1.7603299617767334
166,3.948411464691162,1.7636059522628784
