,Recon
0,3.4433577060699463
1,3.3267271518707275
2,3.2418265342712402
3,3.0858078002929688
4,3.0174853801727295
5,2.938263177871704
6,2.8979403972625732
7,2.799065113067627
8,2.7749977111816406
9,2.6777443885803223
10,2.684901475906372
11,2.5863325595855713
12,2.5634379386901855
13,2.526664972305298
14,2.532433271408081
15,2.4871950149536133
16,2.5001354217529297
17,2.5341012477874756
18,2.4436862468719482
19,2.443725824356079
20,2.3868701457977295
21,2.3736302852630615
22,2.389984607696533
23,2.3864009380340576
24,2.444000720977783
25,2.3361527919769287
26,2.320716381072998
27,2.3581597805023193
28,2.349733352661133
29,2.327313184738159
30,2.3499205112457275
31,2.2946510314941406
32,2.2626709938049316
33,2.315995931625366
34,2.264730930328369
35,2.2785115242004395
36,2.254491090774536
37,2.2781529426574707
38,2.2077722549438477
39,2.255732774734497
40,2.2235867977142334
41,2.208608388900757
42,2.2004570960998535
43,2.179455280303955
44,2.273616313934326
45,2.1669015884399414
46,2.1187403202056885
47,2.073603391647339
48,2.1534690856933594
49,2.09466290473938
50,2.1633682250976562
51,2.1096763610839844
52,2.090118646621704
53,2.122300386428833
54,2.126095771789551
55,2.0852608680725098
56,2.0696563720703125
57,1.9989161491394043
58,2.0599679946899414
59,1.9873573780059814
60,2.010099172592163
61,2.0310750007629395
62,1.9673506021499634
63,2.0618674755096436
64,1.9924647808074951
65,2.0915873050689697
66,2.008876085281372
67,1.9912593364715576
68,1.960222601890564
69,1.953629970550537
70,1.9849973917007446
71,1.915907382965088
72,1.9736604690551758
73,1.880222201347351
74,1.9015729427337646
75,1.957051396369934
76,1.9587751626968384
77,1.9243628978729248
78,1.8909318447113037
79,1.8509958982467651
80,1.8599438667297363
81,1.867106556892395
82,1.9316357374191284
83,1.9110713005065918
84,1.8953993320465088
85,1.9413293600082397
86,1.8545401096343994
87,1.8415985107421875
88,1.796234369277954
89,1.8893153667449951
90,1.7403247356414795
91,1.847406268119812
92,1.903356909751892
93,1.7881850004196167
94,1.8510499000549316
95,1.8845351934432983
96,1.856866478919983
97,1.829284429550171
98,1.7898850440979004
99,1.8517922163009644
100,1.8329572677612305
101,1.7633490562438965
102,1.7720448970794678
103,1.7615774869918823
104,1.768539547920227
105,1.7806730270385742
106,1.8244632482528687
107,1.6928969621658325
108,1.787444829940796
109,1.8104872703552246
110,1.7901241779327393
111,1.6693164110183716
112,1.7089580297470093
113,1.745849847793579
114,1.7193126678466797
115,1.6760257482528687
116,1.7572205066680908
117,1.7738728523254395
118,1.751823902130127
119,1.7195855379104614
120,1.7443475723266602
121,1.722998023033142
122,1.7708505392074585
123,1.7583839893341064
124,1.762041449546814
125,1.8050013780593872
126,1.7090232372283936
127,1.683286190032959
128,1.7452667951583862
129,1.7292981147766113
130,1.7675774097442627
131,1.7038495540618896
132,1.616032600402832
133,1.6763299703598022
134,1.7310220003128052
135,1.779284954071045
136,1.6435543298721313
137,1.7385412454605103
138,1.6648956537246704
139,1.6388566493988037
140,1.6994081735610962
141,1.6595666408538818
142,1.6582111120224
143,1.650115728378296
144,1.7486650943756104
145,1.6416324377059937
146,1.7099170684814453
147,1.6940257549285889
148,1.5882594585418701
149,1.7100379467010498
150,1.6772193908691406
151,1.6725302934646606
152,1.702250599861145
153,1.6542223691940308
154,1.637649416923523
155,1.7300678491592407
156,1.553336262702942
157,1.602353811264038
158,1.65058171749115
159,1.6004029512405396
160,1.5456151962280273
161,1.5831958055496216
162,1.6845437288284302
163,1.7035706043243408
164,1.6610941886901855
165,1.589390754699707
166,1.5536473989486694
167,1.6072776317596436
168,1.5400419235229492
169,1.604722261428833
170,1.648213267326355
171,1.6500287055969238
172,1.5805732011795044
173,1.6538774967193604
174,1.5310922861099243
175,1.5551507472991943
176,1.617282509803772
