,SupCon,Recon
0,4.809260845184326,3.4882750511169434
1,4.65886926651001,3.397881031036377
2,4.538634300231934,3.284635305404663
3,4.22598934173584,3.194305896759033
4,4.339818477630615,3.1088905334472656
5,3.80476713180542,3.025909185409546
6,4.010180473327637,2.977415084838867
7,4.5671586990356445,2.8796474933624268
8,4.212612628936768,2.8266804218292236
9,3.959378957748413,2.896576166152954
10,4.009859085083008,2.7777099609375
11,3.7566428184509277,2.7387917041778564
12,3.6270225048065186,2.680901527404785
13,3.8111777305603027,2.68926739692688
14,3.5297670364379883,2.625405788421631
15,3.5131421089172363,2.617262363433838
16,3.5085582733154297,2.5756897926330566
17,3.876431941986084,2.559502124786377
18,3.2355384826660156,2.618525743484497
19,3.302757978439331,2.5646848678588867
20,3.1562037467956543,2.497792959213257
21,3.3246288299560547,2.4815056324005127
22,3.2070789337158203,2.55128812789917
23,3.032184600830078,2.4408719539642334
24,2.8812379837036133,2.4395968914031982
25,3.118204116821289,2.47845196723938
26,2.9701004028320312,2.46976900100708
27,3.4276504516601562,2.41870379447937
28,2.9929845333099365,2.3470211029052734
29,2.7149291038513184,2.3983612060546875
30,3.361274242401123,2.400853395462036
31,3.1806819438934326,2.3781416416168213
32,3.0444798469543457,2.3272504806518555
33,3.1545114517211914,2.3687784671783447
34,2.7876479625701904,2.365969657897949
35,3.0775527954101562,2.2863690853118896
36,2.9300971031188965,2.2842752933502197
37,2.9498908519744873,2.299849033355713
38,2.9883430004119873,2.270664930343628
39,3.0160489082336426,2.3167073726654053
40,2.6309189796447754,2.2334561347961426
41,2.628437042236328,2.302781343460083
42,2.835629940032959,2.2758848667144775
43,2.8074278831481934,2.2195725440979004
44,2.8037612438201904,2.2443339824676514
45,2.769697666168213,2.2603979110717773
46,2.6881275177001953,2.1635420322418213
47,2.8680567741394043,2.1622965335845947
48,2.763273239135742,2.1997551918029785
49,2.7148008346557617,2.112917423248291
50,2.655242443084717,2.203887701034546
51,2.654547691345215,2.213247299194336
52,2.581862211227417,2.1438255310058594
53,2.519031524658203,2.1671159267425537
54,2.9427363872528076,2.157806158065796
55,2.5198168754577637,2.0515825748443604
56,2.5772242546081543,2.132293939590454
57,2.6480493545532227,2.193035125732422
58,2.4516570568084717,2.1149849891662598
59,2.7135658264160156,2.101987838745117
60,2.5957953929901123,2.07435941696167
61,2.6397550106048584,2.0161826610565186
62,2.459632396697998,2.070666790008545
63,2.535299301147461,2.051285982131958
64,2.3873660564422607,2.0903432369232178
65,2.5132226943969727,2.0443339347839355
66,2.456444263458252,2.085261344909668
67,2.5024261474609375,2.0571088790893555
68,2.519420623779297,2.0740292072296143
69,2.480517864227295,2.0042147636413574
70,2.5443663597106934,2.092217206954956
71,2.399225950241089,1.9881936311721802
72,2.430326223373413,1.9917356967926025
73,2.423513174057007,2.019010543823242
74,2.561887502670288,1.9866613149642944
75,2.375364065170288,1.992591381072998
76,2.2699544429779053,1.9855761528015137
77,2.4513015747070312,1.9660104513168335
78,2.499480724334717,1.932080864906311
79,2.45833158493042,1.9931979179382324
80,2.4259533882141113,1.971561312675476
81,2.239769220352173,1.9656083583831787
82,2.3372058868408203,1.9810822010040283
83,2.279080629348755,1.9573372602462769
84,2.4060885906219482,1.9503650665283203
85,2.3979668617248535,1.8975971937179565
86,2.459484338760376,1.9014852046966553
87,2.2427802085876465,1.9654386043548584
88,2.2565524578094482,1.8562994003295898
89,2.4590749740600586,1.9078874588012695
90,2.387153148651123,1.8770333528518677
91,2.28623104095459,1.8500466346740723
92,2.537978172302246,1.8774628639221191
93,2.3077125549316406,1.887463927268982
94,2.416882276535034,1.886711597442627
95,2.399967908859253,1.9391865730285645
96,2.299969434738159,1.884494423866272
97,2.3233988285064697,1.8688617944717407
98,2.179123878479004,1.8241631984710693
99,2.2412238121032715,1.8742245435714722
100,2.302436351776123,1.7863144874572754
101,2.3289735317230225,1.8100734949111938
102,2.4318652153015137,1.8109378814697266
103,2.32405161857605,1.9015156030654907
104,2.1764373779296875,1.808562159538269
105,2.2607460021972656,1.811856985092163
