,Recon
0,3.4876914024353027
1,3.3796021938323975
2,3.2876813411712646
3,3.1768879890441895
4,3.048556089401245
5,3.0358355045318604
6,2.962820529937744
7,2.905843496322632
8,2.8035829067230225
9,2.7688229084014893
10,2.781815767288208
11,2.693655490875244
12,2.6754932403564453
13,2.6466546058654785
14,2.5860564708709717
15,2.480987787246704
16,2.5914719104766846
17,2.5811283588409424
18,2.62585711479187
19,2.538546562194824
20,2.3913047313690186
21,2.5887694358825684
22,2.458245277404785
23,2.400707483291626
24,2.4425137042999268
25,2.422513246536255
26,2.289656639099121
27,2.345447301864624
28,2.327571392059326
29,2.3466074466705322
30,2.326704740524292
31,2.248406410217285
32,2.360163927078247
33,2.230386257171631
34,2.322430372238159
35,2.315739154815674
36,2.1463265419006348
37,2.27215576171875
38,2.2470550537109375
39,2.3329386711120605
40,2.236259698867798
41,2.1904146671295166
42,2.276305913925171
43,2.2131054401397705
44,2.1780264377593994
45,2.2126824855804443
46,2.1488966941833496
47,2.053548812866211
48,2.198042154312134
49,2.190220832824707
50,2.2508280277252197
51,2.184598922729492
52,2.03315806388855
53,2.273737668991089
54,2.1958494186401367
55,2.1085236072540283
56,2.1641674041748047
57,2.138498306274414
58,1.984464406967163
59,2.0582127571105957
60,2.0516207218170166
61,2.0530431270599365
62,2.0291309356689453
63,1.9646766185760498
64,2.107409715652466
65,1.9336858987808228
66,2.064476490020752
67,2.0750720500946045
68,1.8703206777572632
69,2.0137884616851807
70,1.9821984767913818
71,2.100708246231079
72,1.9928836822509766
73,1.9390414953231812
74,2.015467405319214
75,1.9724981784820557
76,1.9401568174362183
77,1.953159213066101
78,1.9157495498657227
79,1.8457598686218262
80,1.960557460784912
81,1.9425817728042603
82,2.0045576095581055
83,1.9539456367492676
84,1.8152352571487427
85,2.028336524963379
86,2.0212249755859375
87,1.9049713611602783
88,1.947508692741394
89,1.9304139614105225
90,1.7565135955810547
91,1.8471643924713135
92,1.8582849502563477
93,1.835611343383789
94,1.8103878498077393
95,1.7880882024765015
96,1.922411561012268
97,1.7289307117462158
98,1.8776662349700928
99,1.9058257341384888
100,1.7176830768585205
101,1.8491319417953491
102,1.8158884048461914
103,1.9327574968338013
104,1.8373602628707886
105,1.7892177104949951
106,1.8438491821289062
107,1.8137099742889404
108,1.8016692399978638
109,1.790099859237671
110,1.773717999458313
111,1.7227295637130737
112,1.8180925846099854
113,1.7942395210266113
114,1.8498402833938599
115,1.8236100673675537
116,1.6965265274047852
117,1.8821308612823486
118,1.8999170064926147
119,1.777869462966919
120,1.8290044069290161
121,1.8053244352340698
122,1.6322120428085327
123,1.722778558731079
124,1.740618109703064
125,1.709796667098999
126,1.685787320137024
127,1.6898268461227417
128,1.8196995258331299
129,1.6181594133377075
130,1.7772080898284912
131,1.7934668064117432
132,1.6248618364334106
133,1.7578762769699097
134,1.7138866186141968
135,1.8212318420410156
136,1.752809762954712
137,1.6982204914093018
138,1.7543390989303589
139,1.7249499559402466
140,1.7178843021392822
141,1.6976994276046753
142,1.6941722631454468
143,1.648179531097412
144,1.7364286184310913
145,1.6946394443511963
146,1.755468487739563
147,1.7231980562210083
148,1.6320276260375977
149,1.7869411706924438
150,1.8251625299453735
151,1.7013381719589233
152,1.742219090461731
153,1.716996431350708
154,1.548679232597351
155,1.6293809413909912
156,1.6549135446548462
157,1.6343871355056763
158,1.5958428382873535
159,1.6096316576004028
