,Recon
0,3.742192268371582
1,3.6073834896087646
2,3.47552752494812
3,3.3659658432006836
4,3.2606117725372314
5,3.1336119174957275
6,3.0617263317108154
7,2.980085849761963
8,2.898927927017212
9,2.8343429565429688
10,2.792031764984131
11,2.768190860748291
12,2.700854539871216
13,2.677865743637085
14,2.6789543628692627
15,2.658547878265381
16,2.597919464111328
17,2.614550828933716
18,2.5572733879089355
19,2.546339273452759
20,2.5345029830932617
21,2.508206605911255
22,2.4961700439453125
23,2.5189249515533447
24,2.4590437412261963
25,2.424412488937378
26,2.453831672668457
27,2.4261391162872314
28,2.4527978897094727
29,2.416081190109253
30,2.408060312271118
31,2.3866066932678223
32,2.4011237621307373
33,2.3116519451141357
34,2.351792335510254
35,2.3475396633148193
36,2.3996665477752686
37,2.3001861572265625
38,2.3512725830078125
39,2.3117403984069824
40,2.3291831016540527
41,2.356950044631958
42,2.295203685760498
43,2.262195348739624
44,2.2800331115722656
45,2.2253963947296143
46,2.2517380714416504
47,2.2439701557159424
48,2.18745493888855
49,2.2224369049072266
50,2.241056442260742
51,2.264718770980835
52,2.1875486373901367
53,2.2189574241638184
54,2.104785680770874
55,2.2013773918151855
56,2.19152569770813
57,2.158278226852417
58,2.196847915649414
59,2.070438861846924
60,2.098323345184326
61,2.01039457321167
62,2.0707314014434814
63,2.0580849647521973
64,2.1089460849761963
65,2.0457615852355957
66,2.0424840450286865
67,2.089259386062622
68,2.0305755138397217
69,2.110445022583008
70,2.020681619644165
71,2.016221523284912
72,2.1081814765930176
73,2.0225210189819336
74,2.018674612045288
75,2.0387356281280518
76,1.9836164712905884
77,1.973118782043457
78,2.044973850250244
79,1.9387224912643433
80,1.981986165046692
81,1.9750934839248657
82,1.9732903242111206
83,1.9522591829299927
84,2.0021779537200928
85,1.990344762802124
86,1.9204192161560059
87,1.9847067594528198
88,1.8813072443008423
89,1.881790280342102
90,1.917331576347351
91,1.9590517282485962
92,1.9314203262329102
93,1.9230948686599731
94,1.9297486543655396
95,1.9498311281204224
96,1.8460127115249634
97,1.8898088932037354
98,1.8449163436889648
99,1.9328018426895142
100,1.801301121711731
101,1.9064100980758667
102,1.9010499715805054
103,1.903126835823059
104,1.8755435943603516
105,1.9220046997070312
106,1.8650877475738525
107,1.8845288753509521
108,1.8474900722503662
109,1.84200918674469
110,1.8892349004745483
111,1.8561152219772339
112,1.87226402759552
113,1.8311991691589355
114,1.8219397068023682
115,1.8190021514892578
116,1.8406203985214233
117,1.8051012754440308
118,1.8512400388717651
119,1.7825969457626343
120,1.8403408527374268
121,1.797461986541748
122,1.818922996520996
123,1.7915489673614502
124,1.746500015258789
125,1.7747271060943604
126,1.778613567352295
127,1.8414266109466553
128,1.827439308166504
129,1.806784987449646
130,1.7765041589736938
131,1.8113454580307007
132,1.7877733707427979
133,1.799077033996582
134,1.7833582162857056
135,1.7317949533462524
136,1.7976744174957275
137,1.821008324623108
138,1.8333191871643066
139,1.6939753293991089
140,1.8023245334625244
141,1.7471057176589966
142,1.7464649677276611
143,1.7915542125701904
144,1.7979576587677002
145,1.763960838317871
146,1.7296783924102783
147,1.7378743886947632
148,1.736578345298767
149,1.6502196788787842
150,1.7045269012451172
151,1.7371870279312134
152,1.8031134605407715
153,1.7488408088684082
154,1.6810269355773926
155,1.7330267429351807
156,1.7528932094573975
157,1.7829079627990723
158,1.7274951934814453
159,1.7450964450836182
160,1.683415174484253
161,1.7200084924697876
162,1.679373860359192
163,1.6897422075271606
164,1.664319396018982
165,1.6571182012557983
166,1.6844130754470825
167,1.7558456659317017
168,1.7360332012176514
169,1.7141659259796143
170,1.7972939014434814
171,1.698473334312439
172,1.7381333112716675
173,1.709668517112732
174,1.6765977144241333
175,1.6830896139144897
176,1.7525023221969604
177,1.6452229022979736
178,1.705700159072876
179,1.7336876392364502
180,1.6807093620300293
181,1.6239007711410522
182,1.679593563079834
183,1.6682301759719849
184,1.6689437627792358
185,1.720609188079834
186,1.7788313627243042
187,1.68375825881958
188,1.6602919101715088
189,1.6541632413864136
190,1.7157377004623413
191,1.6520066261291504
192,1.7205815315246582
193,1.659944772720337
194,1.651613473892212
195,1.7218652963638306
196,1.629197597503662
197,1.6396623849868774
198,1.6585135459899902
199,1.6349594593048096
200,1.690175175666809
201,1.6905958652496338
202,1.6531224250793457
203,1.6628739833831787
204,1.6903659105300903
205,1.5849748849868774
