,Recon
0,3.3610687255859375
1,3.250018358230591
2,3.1453590393066406
3,3.0496888160705566
4,2.9685585498809814
5,2.8473541736602783
6,2.8371481895446777
7,2.759732961654663
8,2.7444474697113037
9,2.6749985218048096
10,2.5827701091766357
11,2.5643601417541504
12,2.5356481075286865
13,2.5684425830841064
14,2.4403371810913086
15,2.5556869506835938
16,2.4378480911254883
17,2.438387393951416
18,2.401202917098999
19,2.4619085788726807
20,2.4087843894958496
21,2.4354145526885986
22,2.2874646186828613
23,2.297342538833618
24,2.4050087928771973
25,2.327160120010376
26,2.36556077003479
27,2.325160026550293
28,2.32080340385437
29,2.3786215782165527
30,2.3369247913360596
31,2.3051607608795166
32,2.273679256439209
33,2.298463821411133
34,2.2324814796447754
35,2.244633674621582
36,2.24812388420105
37,2.2196457386016846
38,2.2532999515533447
39,2.2155210971832275
40,2.2784171104431152
41,2.1888773441314697
42,2.1961913108825684
43,2.1447577476501465
44,2.0948588848114014
45,2.152287244796753
46,2.1155810356140137
47,2.152693271636963
48,2.0891854763031006
49,2.2250306606292725
50,2.1508846282958984
51,2.1216461658477783
52,2.1379177570343018
53,2.083688497543335
54,2.178802728652954
55,2.1126394271850586
56,2.0989768505096436
57,2.1811935901641846
58,2.0554583072662354
59,2.061815023422241
60,2.0510969161987305
61,1.9835482835769653
62,1.969260811805725
63,1.9648871421813965
64,1.990193247795105
65,1.9841437339782715
66,2.042085886001587
67,1.9877358675003052
68,1.9678541421890259
69,2.033550262451172
70,1.9982541799545288
71,1.92974054813385
72,1.9941977262496948
73,1.9571889638900757
74,1.9351619482040405
75,1.947691559791565
76,1.9795011281967163
77,1.868377923965454
78,1.8849421739578247
79,1.8780466318130493
80,1.8921295404434204
81,1.9060547351837158
82,1.927613615989685
83,1.9792965650558472
84,1.883772850036621
85,1.949993371963501
86,1.9054535627365112
87,1.9107484817504883
88,1.8048335313796997
89,1.8704237937927246
90,1.9115477800369263
91,1.8215019702911377
92,1.9469410181045532
93,1.8222498893737793
94,1.8249006271362305
95,1.7821667194366455
96,1.7791690826416016
97,1.8451811075210571
98,1.8234328031539917
99,1.837173342704773
100,1.8527467250823975
101,1.7671483755111694
102,1.7412174940109253
103,1.7661774158477783
104,1.7521883249282837
105,1.8050220012664795
106,1.7762908935546875
107,1.8330514430999756
108,1.8208304643630981
109,1.7702869176864624
