,SupCon
0,4.828798294067383
1,4.821561336517334
2,4.55385684967041
3,4.4291534423828125
4,4.291443824768066
5,4.218404769897461
6,4.64663028717041
7,4.439955711364746
8,4.182059288024902
9,4.134933948516846
10,4.11277961730957
11,4.060883045196533
12,3.9952571392059326
13,3.7342746257781982
14,3.887868642807007
15,3.639610767364502
16,3.985959768295288
17,3.7938525676727295
18,3.6434130668640137
19,3.7987613677978516
20,3.683316946029663
21,3.6852378845214844
22,3.53556227684021
23,3.4370508193969727
24,3.2568655014038086
25,3.5046725273132324
26,3.509617567062378
27,3.1166696548461914
28,3.1188302040100098
29,3.483494520187378
30,3.4041271209716797
31,3.198410749435425
32,3.2091691493988037
33,3.0535449981689453
34,3.202967643737793
35,3.0717265605926514
36,3.3517532348632812
37,3.089738368988037
38,2.9869260787963867
39,3.2152175903320312
40,3.221799612045288
41,2.9811863899230957
42,2.880704402923584
43,3.026215076446533
44,2.9668478965759277
45,2.894981861114502
46,2.6972243785858154
47,2.853255033493042
48,2.8198752403259277
49,2.693347454071045
50,2.7362020015716553
51,2.7077291011810303
52,2.938302755355835
53,2.9941279888153076
54,2.559532642364502
55,2.7945926189422607
56,2.7246994972229004
57,2.590172052383423
58,2.519617795944214
59,2.6863486766815186
60,2.5884265899658203
61,2.586857318878174
62,2.697251796722412
63,2.8159351348876953
64,2.6373515129089355
65,2.5068445205688477
66,2.8406856060028076
67,2.5480873584747314
68,2.562256336212158
69,2.540782928466797
70,2.387704849243164
71,3.0027015209198
72,2.964229106903076
73,2.4914438724517822
74,2.5476396083831787
75,2.768266439437866
76,2.4760093688964844
77,2.416581869125366
78,2.4394843578338623
79,2.6262850761413574
80,2.3296124935150146
81,2.641402244567871
82,2.5228567123413086
83,2.4655184745788574
84,2.487684965133667
85,2.4070377349853516
86,2.4884519577026367
87,2.3912923336029053
88,2.367554187774658
89,2.3147809505462646
90,2.5847606658935547
91,2.4088149070739746
92,2.2775144577026367
93,2.4179959297180176
94,2.278691291809082
95,2.4574198722839355
96,2.3249728679656982
97,2.3281121253967285
98,2.5271754264831543
99,2.306972026824951
100,2.4501113891601562
101,2.3403871059417725
102,2.447343587875366
103,2.482509136199951
104,2.3871164321899414
105,2.245090961456299
106,2.36898136138916
107,2.162318468093872
108,2.387603759765625
109,2.2832350730895996
110,2.187713146209717
111,2.3792099952697754
112,2.5332908630371094
113,2.3998937606811523
114,2.227060079574585
115,2.3451271057128906
116,2.2295329570770264
117,2.1379427909851074
118,2.351168394088745
119,2.4866743087768555
120,2.3818893432617188
121,2.2050275802612305
122,2.227875232696533
123,2.1081271171569824
124,2.210075855255127
125,2.276963233947754
126,2.0734493732452393
127,2.135469913482666
128,2.0973756313323975
129,2.189845085144043
130,2.1905951499938965
131,2.0925967693328857
132,2.2851686477661133
133,2.291940450668335
134,2.15824294090271
135,2.11033296585083
136,2.131696939468384
137,2.1361160278320312
138,2.1530652046203613
139,2.0184764862060547
140,2.2188785076141357
141,2.2482361793518066
142,2.0477218627929688
143,2.06227445602417
144,2.1056151390075684
145,2.327928066253662
146,2.2195422649383545
147,2.1603381633758545
148,2.1790289878845215
149,2.0851147174835205
150,2.080296516418457
151,2.1381964683532715
152,2.055117130279541
153,2.247918128967285
154,2.1640615463256836
155,2.2950470447540283
156,2.135040044784546
157,2.1839280128479004
158,2.1311957836151123
159,2.156665563583374
160,2.164578914642334
161,2.2500228881835938
162,2.138633966445923
163,2.1886675357818604
164,2.162515163421631
165,2.0381126403808594
166,2.1814913749694824
167,2.176908493041992
168,2.228184938430786
169,2.1947669982910156
170,2.105520248413086
171,2.0912723541259766
172,2.1621313095092773
173,2.1698009967803955
174,2.1345019340515137
175,2.23290753364563
176,2.1086490154266357
177,2.1489176750183105
178,2.0255391597747803
179,2.0498125553131104
180,1.9841554164886475
181,2.2649426460266113
182,2.1630797386169434
183,1.999271273612976
184,2.115556001663208
185,1.9906530380249023
186,1.9340295791625977
187,2.0326271057128906
188,1.9309571981430054
189,1.981948733329773
190,2.080289602279663
191,2.0215530395507812
192,2.070617198944092
193,2.1086575984954834
194,2.0433194637298584
195,2.264725685119629
196,2.114455223083496
197,2.097914457321167
198,2.1765921115875244
199,2.2486119270324707
200,2.0197055339813232
201,2.0632553100585938
202,2.085500478744507
203,2.0408477783203125
204,2.156169891357422
205,2.1545968055725098
206,2.0397465229034424
207,2.022087574005127
208,2.0199127197265625
209,2.198331594467163
210,1.9292640686035156
211,2.006937026977539
212,1.9977229833602905
213,2.142967462539673
214,2.1467809677124023
215,1.990250825881958
216,1.9678492546081543
217,2.097090244293213
218,1.9090259075164795
219,2.0065500736236572
220,2.0301570892333984
221,2.0657148361206055
222,2.2885079383850098
223,1.9451885223388672
224,2.004140853881836
225,2.049893856048584
226,2.078482151031494
227,1.9617919921875
228,2.046128511428833
229,1.9809035062789917
230,1.9808719158172607
231,1.9628715515136719
232,1.9395184516906738
233,1.9791539907455444
234,2.16280460357666
235,2.163656711578369
236,2.042388677597046
237,2.0774834156036377
238,1.9779176712036133
239,2.006891965866089
240,2.201504707336426
241,2.047957420349121
242,2.049072027206421
243,2.086841583251953
244,2.016617774963379
245,2.0532755851745605
246,2.08219838142395
247,2.020883321762085
248,1.970207691192627
249,1.9437034130096436
250,1.9786829948425293
251,1.9554399251937866
252,1.9758914709091187
253,2.002901077270508
254,1.9514589309692383
255,2.107363700866699
256,2.0709645748138428
257,2.0713276863098145
258,2.0450451374053955
259,1.9565966129302979
260,1.9756168127059937
261,1.904050588607788
262,2.0506019592285156
263,2.0524039268493652
264,2.042031764984131
265,2.0175607204437256
266,1.9123544692993164
267,2.0471725463867188
268,2.090041160583496
269,2.011178493499756
270,2.127344846725464
271,1.907026767730713
272,1.9565448760986328
273,1.9024558067321777
274,2.036647319793701
275,2.019770622253418
276,2.004281520843506
277,2.0475475788116455
278,1.8768819570541382
279,2.013856887817383
280,2.0664515495300293
281,2.0192220211029053
282,2.144369125366211
283,2.0194549560546875
284,2.0025110244750977
285,1.9642541408538818
286,2.0383553504943848
287,2.1058850288391113
288,1.9512393474578857
289,2.074331760406494
290,2.1261260509490967
291,2.0221705436706543
292,1.9688336849212646
293,2.06382155418396
294,1.9560211896896362
295,1.8666152954101562
296,1.8732514381408691
297,1.9567196369171143
298,1.9368436336517334
299,2.0751259326934814
300,2.109062433242798
301,2.0225863456726074
302,1.977555513381958
303,1.9686864614486694
304,1.995327353477478
305,2.008657455444336
306,1.910962462425232
307,2.0802485942840576
308,1.954791784286499
309,2.015223979949951
310,1.9281232357025146
311,2.077223300933838
312,1.9012407064437866
313,2.0435025691986084
314,1.9633195400238037
315,1.9852838516235352
316,1.99655282497406
317,1.9772021770477295
318,1.8659019470214844
319,2.0264174938201904
320,1.976607322692871
321,2.0385377407073975
322,2.098146438598633
323,2.082240104675293
324,1.9127072095870972
325,2.0411593914031982
326,1.9585256576538086
327,1.9342302083969116
328,1.862677812576294
329,1.930783987045288
330,1.9772591590881348
331,1.9606341123580933
332,2.0043582916259766
333,1.9124563932418823
334,1.933997392654419
335,1.952920913696289
336,1.9099891185760498
337,1.8619582653045654
338,2.0436038970947266
339,1.924974799156189
340,1.8455572128295898
341,1.917240858078003
342,2.019606351852417
343,2.017813205718994
344,1.9969600439071655
345,1.8359096050262451
346,2.0911383628845215
347,1.9237525463104248
348,1.9532470703125
349,2.007232666015625
350,1.9205265045166016
351,2.1146316528320312
352,1.8885900974273682
353,1.9115713834762573
354,1.8899329900741577
355,2.0061044692993164
356,1.9733946323394775
357,1.8590657711029053
358,1.8917298316955566
359,1.9236035346984863
360,1.9380407333374023
361,1.9673703908920288
362,1.8925106525421143
363,2.020031690597534
364,2.008206844329834
365,1.846651554107666
366,1.926910161972046
367,2.1055901050567627
368,1.8874452114105225
369,1.9453680515289307
370,1.9105271100997925
371,1.9038976430892944
372,1.9419763088226318
373,1.9527721405029297
374,1.9056365489959717
375,1.8231099843978882
376,1.9148149490356445
377,1.8741192817687988
378,1.9106323719024658
379,1.896870493888855
380,1.8274431228637695
381,1.8699926137924194
382,1.8620198965072632
383,1.9280173778533936
384,1.8977961540222168
385,1.973478078842163
386,1.8589996099472046
387,1.8728148937225342
388,1.9159181118011475
389,1.923601508140564
390,1.7944715023040771
391,1.8644487857818604
392,1.9213547706604004
393,1.955852746963501
394,1.8919734954833984
395,1.881272554397583
396,1.8223966360092163
397,1.9452509880065918
398,1.8508987426757812
399,1.9317034482955933
400,1.8754689693450928
401,1.8623284101486206
402,2.0186567306518555
403,1.8554978370666504
404,1.9715003967285156
405,1.920166015625
406,1.8940234184265137
407,1.968717098236084
408,1.977508544921875
409,1.9112643003463745
410,1.9563859701156616
411,1.9566468000411987
412,1.8963029384613037
413,1.9452035427093506
414,1.9812393188476562
415,2.068077325820923
416,1.9690521955490112
417,1.934885025024414
418,1.8875494003295898
419,1.8137097358703613
420,1.946141004562378
421,1.8038028478622437
422,1.8928439617156982
423,1.8963963985443115
424,1.8393847942352295
425,1.8713797330856323
426,1.9301036596298218
427,1.881374716758728
428,1.8492076396942139
429,1.9536064863204956
430,2.040688991546631
431,1.887075662612915
432,1.8648743629455566
433,1.8783807754516602
434,1.8759315013885498
435,1.9294861555099487
436,1.8953064680099487
437,1.9475826025009155
438,1.8787779808044434
439,1.9233782291412354
440,1.8707301616668701
441,1.8461427688598633
442,1.8362293243408203
443,1.9216054677963257
444,1.8492431640625
445,1.9329659938812256
446,1.8543508052825928
447,1.8933461904525757
448,1.9220225811004639
449,1.8476226329803467
450,1.900821566581726
451,1.9071969985961914
452,1.9136942625045776
453,1.9194835424423218
454,1.821396827697754
455,1.8757437467575073
456,1.9971344470977783
457,1.8866595029830933
458,1.871725082397461
459,2.0341756343841553
460,1.8592890501022339
461,1.8484342098236084
462,1.8644769191741943
463,1.8671951293945312
464,1.7995145320892334
465,1.8729734420776367
466,2.026458740234375
467,1.8785241842269897
468,1.9562146663665771
469,1.838301420211792
470,1.8865642547607422
471,1.9115899801254272
472,1.8404282331466675
473,1.9035818576812744
474,1.7922643423080444
475,1.8710321187973022
476,1.861440896987915
477,1.8645437955856323
478,1.8498539924621582
479,1.8879930973052979
480,1.8565411567687988
481,1.797810435295105
482,1.8128036260604858
483,2.00266432762146
484,1.8644402027130127
485,1.835245132446289
486,1.9359506368637085
487,1.8641364574432373
488,1.8502521514892578
489,1.950742483139038
490,1.9302500486373901
491,1.8446733951568604
492,1.9028629064559937
493,1.8580917119979858
494,1.858821153640747
495,1.9104984998703003
496,1.9100254774093628
497,1.7879142761230469
498,1.8684953451156616
499,1.814872145652771
500,1.8850164413452148
501,1.8673973083496094
502,1.9189643859863281
503,1.8873895406723022
504,1.7793735265731812
505,1.9133520126342773
506,1.8290777206420898
507,1.8663394451141357
508,1.8408129215240479
509,1.8347079753875732
510,1.8399419784545898
511,1.770583152770996
512,1.8620531558990479
513,1.9290980100631714
514,1.8774657249450684
515,1.9125077724456787
516,1.8936370611190796
517,1.8820874691009521
