anc_idx,aug_idx,distance
0,20000,2.3953678121878896
0,20001,2.1861182204077925
0,20002,2.7962050997579593
0,20003,2.290413851763336
0,20004,4.379040256631043
1,20005,2.8476681286740027
1,20006,1.7727868777966846
1,20007,2.7933298058902567
1,20008,4.989713334010453
1,20009,5.662158609379051
2,20010,2.982322902284742
2,20011,2.982322902284742
2,20012,3.726331344768815
2,20013,3.726331344768815
2,20014,2.914136621028575
3,20015,2.6655528450259807
3,20016,2.31040441399561
3,20017,9.439282477320434
3,20018,4.102390284395571
3,20019,5.736432368862648
4,20020,2.521750689217091
4,20021,2.2714882423797644
4,20022,2.230866092244186
4,20023,4.790772367725292
4,20024,2.2714882423797644
5,20025,2.152690463225212
5,20026,2.152690463225212
5,20027,2.338167624737091
5,20028,2.318393117335531
5,20029,3.955369250626734
6,20030,2.107836915186978
6,20031,2.1834164615278024
6,20032,2.205332067761302
6,20033,2.1834164615278024
6,20034,2.2964448731616636
7,20035,2.1019720051677298
7,20036,1.8429248329380714
7,20037,1.5959641107916385
7,20038,3.8053137894818794
7,20039,2.543544497187947
8,20040,0.9922547138108796
8,20041,2.387539894949279
8,20042,2.4630556444551686
8,20043,4.50023551734798
8,20044,2.0675985052489696
9,20045,2.2484184207911992
9,20046,2.246362817497662
9,20047,4.0659865705333615
9,20048,2.9593383948681558
9,20049,2.2158210489285297
10,20050,1.9388191204060155
10,20051,2.302310573973449
10,20052,3.2412310827298123
10,20053,3.927545302604275
10,20054,2.8752288006958553
11,20055,2.543360589998878
11,20056,3.4390076483692584
11,20057,2.084397313947212
11,20058,4.05182699656775
11,20059,2.2079918726683583
12,20060,3.2283284742966
12,20061,3.715053105791543
12,20062,3.555732336026631
12,20063,3.2783336429975476
12,20064,5.558391293838416
13,20065,2.795303699182097
13,20066,3.5115702126142385
13,20067,2.8224549594649804
13,20068,3.7315539706377634
13,20069,8.056948209555374
14,20070,2.000843972243683
14,20071,2.000843972243683
14,20072,4.335780171813468
14,20073,2.284369848318266
14,20074,3.8120885136177445
15,20075,2.418754188924558
15,20076,3.009207832209667
15,20077,2.022848514749983
15,20078,2.3422028965190274
15,20079,5.643411143662813
16,20080,2.424139997694582
16,20081,2.424139997694582
16,20082,2.6927473133167674
16,20083,2.0553882055553716
16,20084,4.109655526031338
17,20085,2.482969698993758
17,20086,1.8199709728700193
17,20087,2.1271574870504866
17,20088,3.788623535768411
17,20089,3.9478719049628954
18,20090,2.3626957521779546
18,20091,2.249618002123932
18,20092,2.3517975076882007
18,20093,3.563258009332237
18,20094,2.39921663467273
19,20095,3.2586593191996434
19,20096,3.364217751157888
19,20097,3.364217751157888
19,20098,3.1795066977162256
19,20099,4.529301601936305
20,20100,2.072457070460957
20,20101,2.4858916600764562
20,20102,2.678409814337121
20,20103,2.095756999018377
20,20104,3.9892799416515428
21,20105,3.172799815926831
21,20106,2.290138854717579
21,20107,2.1859109659589953
21,20108,2.40147887385077
21,20109,1.7937563643103507
22,20110,11.457424052487056
22,20111,2.9836191235831446
22,20112,2.0602295849341816
22,20113,1.180767581123146
22,20114,2.617603930038865
23,20115,3.022439976312922
23,20116,2.1033921807119538
23,20117,2.8639947722371284
23,20118,2.8732842222169577
23,20119,4.554807920442599
24,20120,3.043861364137754
24,20121,2.236083630170189
24,20122,3.0097300975210897
24,20123,4.202610377444888
24,20124,2.236083630170189
25,20125,2.3013770636613953
25,20126,2.6162373438040394
25,20127,3.1235364975359126
25,20128,4.644542317163201
25,20129,2.9540150430320518
26,20130,2.1341965458132446
26,20131,3.0677413399952176
26,20132,4.755710983213318
26,20133,2.448547988968734
26,20134,1.757314034623518
27,20135,2.0767584256569767
27,20136,8.117871103503917
27,20137,2.346523546909085
27,20138,2.0685293487557925
27,20139,2.2902084285033304
28,20140,2.3117408277531233
28,20141,2.7535754572004305
28,20142,4.345562208334051
28,20143,4.5003328884241505
28,20144,2.5589192427281877
29,20145,4.5776197366018
29,20146,3.4055298630606807
29,20147,1.8952073312807953
29,20148,2.226337429745295
29,20149,1.8882976077814984
30,20150,9.530761090322383
30,20151,2.5200318578438203
30,20152,2.380676497943634
30,20153,3.5358367687422896
30,20154,2.5276819906807164
31,20155,1.9387312487574946
31,20156,5.4216223059742354
31,20157,3.8484943036348955
31,20158,3.676366095079664
31,20159,2.0456011821087556
32,20160,2.8118531527178443
32,20161,3.1853849989426233
32,20162,2.1391714068998327
32,20163,4.099633705890236
32,20164,1.7881385819171556
33,20165,3.5593064389583557
33,20166,3.6220282577045246
33,20167,4.497313192500014
33,20168,3.523821773053944
