prop_name
PEOE_VSA9
VSA_EState6
EState_VSA6
SMR_VSA1
NOCount
MinEStateIndex
EState_VSA1
PEOE_VSA14
EState_VSA3
VSA_EState9
VSA_EState4
HeavyAtomCount
SlogP_VSA1
SlogP_VSA2
EState_VSA10
PEOE_VSA6
VSA_EState8
SMR_VSA10
MaxAbsPartialCharge
NumHAcceptors
TPSA
MaxEStateIndex
PEOE_VSA10
SMR_VSA3
MinPartialCharge
NumAliphaticHeterocycles
VSA_EState5
EState_VSA2
SlogP_VSA4
NumSaturatedHeterocycles
SMR_VSA6
FractionCSP3
LabuteASA
SMR_VSA8
NumAromaticHeterocycles
PEOE_VSA12
PEOE_VSA7
PEOE_VSA3
SlogP_VSA6
SlogP_VSA8
MinAbsPartialCharge
PEOE_VSA2
ExactMolWt
PEOE_VSA13
PEOE_VSA4
SMR_VSA5
SlogP_VSA9
VSA_EState10
MaxAbsEStateIndex
VSA_EState7
MinAbsEStateIndex
MaxPartialCharge
SMR_VSA4
SlogP_VSA10
NumSaturatedCarbocycles
EState_VSA7
PEOE_VSA11
PEOE_VSA5
NumAliphaticRings
PEOE_VSA1
MolMR
NumHeteroatoms
EState_VSA5
PEOE_VSA8
SlogP_VSA11
VSA_EState2
RingCount
NumRotatableBonds
NumHDonors
EState_VSA8
VSA_EState1
NumAromaticRings
qed
SMR_VSA9
SlogP_VSA5
NumSaturatedRings
MolLogP
SMR_VSA2
SlogP_VSA7
EState_VSA11
NumAromaticCarbocycles
SMR_VSA7
VSA_EState3
NumAliphaticCarbocycles
EState_VSA4
EState_VSA9
NHOHCount
SlogP_VSA12
MolWt
SlogP_VSA3
