smiles
Brc1ccc2ccccc2c1
CC(=O)C1CCCCC1=O
CC(=O)NC1CCSC1=O
CC(O)C1NCC(O)C1O
CC1=[N+](C)CCN1C
CC1CC(C)C(O)OC1C
CC1CCC2CC1C2(C)C
CCC(=O)c1ccccc1O
CCCCNCc1ccccc1Br
CCCCNCc1ccccc1Cl
CN1C=CCC2C1N2C#N
CN1CCCCC1C1CSSC1
CNC1CCCc2ccncc21
COC(=O)c1ccccc1N
COc1ccc(CCN)cc1O
COc1ccc(O)cc1C=O
CSc1cnnc2ccccc12
CSc1nnnc2ccccc12
Cc1nnsc1SCC(=O)O
Cn1cnc2ncnc-2c1N
Cn1cnc2ncnn2c1=S
NC(=O)CN1CCCC1=O
NC1CC1c1c[nH]cn1
NCCc1c(F)cccc1Cl
NCCc1coc2ccccc12
NNC(=O)c1nccnc1N
Nc1ccc(Cl)cc1C=O
O=C1CCCc2cnccc21
O=C1OCC2CC=CCC12
O=NN1CCCS1(=O)=O
OC1COC2C(O)COC12
OCc1ccc(Cl)cc1Cl
ON=C1CCCc2nonc21
ON=C1COc2ccccc21
C=CCOC1CCCOC1CC=O
CC(C)CC1OCCC=CC1C
CC1=[N+](C)CCCN1C
CC1CN1CC(O)CC1CC1
CCCC1N=C(N)OC1CCC
CCc1ccc(O)c(O)c1O
CCc1ccc2ccccc2c1O
CCn1ncc2cncn2c1=S
COc1cccc(C=O)c1OC
Cc1c(CCO)sc[n+]1C
Cn1c(N)cc(=O)nc1N
Cn1cccc1CNC1CCCC1
Cn1cnc2ccccc2c1=O
Cn1cnc2ccccc2c1=S
IC#CCn1nnnc1C1CC1
N#Cc1cccc2cnccc12
N=C(CN1CCCC1=O)NO
NC1CC(O)CC1C(=O)O
NC1CCCc2cccnc2C1O
NC1Cc2ccccc2CC1=O
NCCCCc1no[nH]c1=O
NCCc1c(Cl)cccc1Cl
Nc1nc2ccc(F)cc2s1
O=C1CC2CC(O)CC2C1
O=C1CCCN1c1ccccc1
O=C1NCCCCC1(Cl)Cl
O=C1NCCN1c1ccccc1
OC(O)CC1NCC(O)C1O
Oc1ccccc1C(F)(F)F
Brc1ccc2c(c1)CNCC2
Brc1ccc2n[s+]sc2c1
C#CC(C)(CO)N1CCCC1
C=C(C(=O)OC)C(C)CO
C=C(C(=O)OCC)C(C)O
C=C(C)C(=O)c1cccs1
C=C1CC(CCCCC)NC1=O
C=CC(=O)NCc1ccccc1
C=CC(=O)Nc1ccccc1C
C=CC(O)c1cccc(O)c1
CC#CC(OCC)(OCC)OCC
CC(=O)C(O)c1ccccc1
CC(=O)N(C)c1ccccc1
CC(=O)Nc1ccc(F)cc1
CC(C)(C#N)Nn1cnnc1
CC(C=Cc1ccccc1)=NO
CC(CN(C)N)c1ccccc1
CC(CO)OCOCc1ccccc1
