,x,y
4162,11.595262,2.383393
4163,11.595546,2.3972578
4164,11.607173,2.3798335
228,7.069837,3.405741
1140,8.438348,7.268114
1141,8.670561,7.610335
1142,8.5714855,7.3431616
1143,8.659248,7.620285
1144,8.595273,7.4152923
2953,13.648057,0.13119116
14765,13.653774,0.12217826
14766,13.648619,0.13341634
14767,13.654997,0.12598252
14768,13.631548,0.1490036
14769,13.650466,0.12777282
751,7.972239,-2.0932302
3755,7.90622,-2.0773182
3756,8.331823,-2.2603452
3757,8.059959,-2.190805
3758,8.01262,-2.0658529
3759,8.010325,-2.0634568
6087,13.9503975,1.6969144
30435,13.918554,1.6647422
30436,13.929394,1.6834321
30437,13.918807,1.6543701
30438,13.904624,1.6624318
30439,13.895824,1.6641988
3058,11.431758,4.875838
15290,11.422447,4.87638
15291,11.423342,4.866092
15292,11.339265,4.8490744
15293,11.363424,4.89497
15294,11.40459,4.8935847
4194,9.338017,3.1559656
20970,9.412219,2.2854612
20971,10.259727,6.052101
20972,13.255989,6.678505
20973,10.228792,6.036677
20974,13.3068,6.703308
7552,13.101296,2.7563837
37760,13.443563,5.2516794
37761,13.443882,5.2439404
37762,13.345646,5.1966305
37763,13.1169405,2.7461655
37764,13.459975,5.2456174
8028,13.507788,1.6992539
40140,13.529069,1.7234361
40141,13.525244,1.7150137
40142,13.527503,1.7013557
40143,13.244681,0.5996434
40144,13.530869,1.7113805
3563,8.207103,-2.2805262
17815,8.247468,-2.2963002
17816,8.185915,-2.2451508
17817,8.206675,-2.2616434
17818,8.182244,-2.1590807
17819,8.196147,-2.2540405
7168,13.608784,7.4278684
35840,13.6275425,7.4608917
35841,13.605161,7.4743757
35842,13.611562,7.4164157
35843,9.2548685,3.063759
35844,13.602723,7.4240255
563,10.781025,6.71553
2815,10.802166,6.7187514
2816,10.55846,6.3944206
2817,10.727336,6.426556
2818,10.823224,6.712524
2819,10.815276,6.7072077
6913,11.774416,1.3602787
34565,11.749384,1.3434281
34566,11.752709,1.3729922
34567,11.767903,1.3224511
34568,11.744743,1.354972
34569,11.682244,1.4418368
6983,9.7845955,-1.4353669
34915,9.803493,-1.5667678
34916,9.754708,-1.4554805
34917,11.025511,8.629457
34918,9.7590885,-1.4349911
34919,9.783109,-1.4686619
5995,8.736188,8.868032
29975,8.781158,8.8319435
29976,8.74267,8.854139
29977,8.723675,8.836305
29978,8.75138,8.915935
29979,8.721659,8.838034
8208,11.656933,0.99279624
41040,11.652699,0.9742422
41041,11.645329,0.97871983
41042,11.634475,0.967407
41043,11.632328,0.96009594
41044,11.651403,0.98468447
4153,9.2467375,3.0686088
20765,8.50505,8.029375
20766,7.9253516,1.6726879
20767,7.501308,2.3693323
20768,8.137039,7.222408
20769,9.2375345,3.0884864
7797,11.79297,1.8480424
38985,12.913872,4.2887278
38986,12.868569,3.2572932
38987,12.993822,2.7670245
38988,11.730374,1.7540463
38989,13.57307,5.809722
1881,7.711282,3.8042314
9405,8.148931,7.2069006
9406,7.688888,3.791355
9407,7.3371186,3.8900356
9408,7.7359195,3.7949052
9409,8.746574,7.059558
6875,11.044451,1.7014937
34375,10.93542,1.8291886
34376,11.0589485,1.7163525
34377,11.038138,1.721152
34378,11.068047,1.699329
34379,10.984082,1.6423811
8714,10.300508,8.921646
43570,10.315637,9.001909
43571,10.292956,8.951171
43572,10.2794285,8.978973
43573,10.299897,8.977041
43574,10.299359,8.962711
4164,9.233165,3.1370528
20820,10.330809,6.3677993
20821,10.067576,5.136161
20822,13.34904,7.1486053
20823,13.265525,6.815914
