,x,y
4160,-3.3792434,-5.0956373
4161,-3.39169,-5.1232896
4162,-3.3853428,-5.1106973
4163,-3.3820157,-5.1019673
4164,-3.3784075,-5.096317
228,1.2848786,-7.7242465
1140,1.2726452,-7.7357264
1141,1.2830433,-7.725199
1142,1.3101615,-7.7035594
1143,1.2627378,-7.731491
1144,1.2947522,-7.7184596
2953,5.640125,3.9462087
14765,5.639032,3.9459002
14766,5.640351,3.9488685
14767,5.639724,3.9461496
14768,5.647689,3.9235659
14769,5.6406536,3.946749
751,0.98227036,2.6218576
3755,0.9628024,2.6405406
3756,0.983363,2.6224055
3757,0.9815277,2.6229467
3758,0.9830837,2.6210773
3759,0.9830784,2.6194735
6087,-1.3149903,7.153797
30435,-1.2986991,7.1384997
30436,-1.3116693,7.1531096
30437,-1.2968471,7.137816
30438,-1.2957368,7.1366124
30439,-1.2825241,7.132066
3058,5.9423857,-8.060786
15290,5.949078,-8.067549
15291,5.9443574,-8.0597925
15292,5.945061,-8.060651
15293,5.9292555,-8.064578
15294,5.9588284,-8.08236
4194,1.2291845,15.235052
20970,1.2296937,15.232172
20971,1.2291588,15.233374
20972,1.2291229,15.233312
20973,1.2291358,15.233257
20974,1.229149,15.233084
7552,15.549717,-14.261934
37760,15.521217,-14.290694
37761,15.519971,-14.287689
37762,15.519516,-14.293484
37763,15.524431,-14.282273
37764,15.523383,-14.287558
8028,-1.2502348,7.111443
40140,-1.2446545,7.10828
40141,-1.2409079,7.1084633
40142,-1.239698,7.1027503
40143,-1.2447218,7.1086154
40144,-1.2568258,7.1196737
3563,18.180595,-0.84665036
17815,18.177391,-0.84618473
17816,18.187132,-0.83937013
17817,18.183306,-0.8457524
17818,18.186586,-0.841437
17819,18.183535,-0.8421202
7168,13.100386,-4.481374
35840,13.114117,-4.4620667
35841,13.126041,-4.450282
35842,13.123061,-4.4420853
35843,13.111943,-4.4629135
35844,13.113008,-4.4631944
563,11.952399,-3.1096094
2815,11.95475,-3.0882585
2816,11.9486475,-3.1147923
2817,12.023312,-3.2059975
2818,11.977022,-3.0771546
2819,11.935305,-3.1269453
6913,8.138904,1.2870097
34565,8.175238,1.2520022
34566,8.127037,1.300589
34567,8.158721,1.2665193
34568,8.140354,1.2857978
34569,8.14233,1.2838725
6983,17.845102,-3.2071366
34915,17.844093,-3.20214
34916,17.844166,-3.2054238
34917,17.845083,-3.207144
34918,17.846668,-3.214188
34919,17.845516,-3.2089982
5995,12.773823,5.9971395
29975,12.776334,5.9983196
29976,12.7766,5.9964848
29977,12.783177,5.99511
29978,12.774694,5.99571
29979,12.787017,5.997305
8208,1.4180363,1.0773151
41040,1.4297649,1.0861897
41041,1.4184124,1.077436
41042,1.4188225,1.0771053
41043,1.4185879,1.0776458
41044,1.4186608,1.0780165
4153,-3.418023,1.9923065
20765,-3.414668,1.9883858
20766,-3.4139957,1.987976
20767,-3.4138038,1.987364
20768,-3.4176967,1.9920394
20769,-3.416897,1.993711
7797,15.74725,9.307738
38985,15.749445,9.304942
38986,15.748545,9.307896
38987,15.747744,9.3069315
38988,15.749657,9.304471
38989,15.748424,9.3063755
1881,-3.3060353,1.8581127
9405,-3.3065622,1.8577265
9406,-3.3118527,1.864868
9407,-3.3129056,1.8721167
9408,-3.2999918,1.8381945
9409,-3.306786,1.8588609
6875,-1.3309853,11.154392
34375,-1.3320519,11.154233
34376,-1.3313518,11.154116
34377,-1.3370548,11.149666
34378,-1.3325273,11.153402
34379,-1.3327967,11.153622
8714,-4.580283,-0.53159547
43570,-4.555728,-0.55614245
43571,-4.586377,-0.5126669
