,x,y
4160,10.090034,1.9436387
4161,10.11191,1.9260238
4162,10.124746,1.9965544
4163,10.195981,1.9578716
4164,10.18661,1.9565288
228,6.4619384,2.4016376
1140,7.8985214,6.3170075
1141,8.078804,6.8900194
1142,8.1796875,6.358755
1143,8.044596,6.858098
1144,8.071324,6.55998
2953,11.727517,-0.58688295
14765,11.773043,-0.54616493
14766,11.70881,-0.57366467
14767,11.706951,-0.5623719
14768,11.702824,-0.56329805
14769,11.715729,-0.5795342
751,6.2701483,-3.0557003
3755,6.236042,-3.0511556
3756,6.2801332,-3.2624967
3757,6.2458735,-3.1546085
3758,6.2918735,-3.0070603
3759,6.3017907,-2.9697795
6087,10.45991,-1.2547657
30435,10.438652,-1.2647973
30436,10.4541235,-1.2569577
30437,10.443122,-1.2577893
30438,10.406491,-1.2733408
30439,10.448867,-1.2487258
3058,14.146455,3.7714236
15290,14.124978,3.7462947
15291,14.154267,3.7720287
15292,14.100533,3.9067054
15293,14.157535,3.7701585
15294,14.160693,3.7623675
4194,8.13729,2.4030538
20970,8.147365,3.1992533
20971,9.818796,4.1758227
20972,11.99361,5.5757847
20973,9.813068,4.187024
20974,11.958042,5.584014
7552,11.538318,3.3881693
37760,13.004532,4.182384
37761,13.015426,4.1785808
37762,13.065934,4.0753384
37763,11.505427,3.4635973
37764,12.988621,4.120765
8028,10.9786005,3.6964805
40140,10.974439,3.6855247
40141,10.984525,3.679485
40142,10.935633,3.6900702
40143,11.153121,-0.2569233
40144,10.946537,3.7068083
3563,6.3434734,-3.1790843
17815,6.3371315,-3.2011292
17816,6.3394265,-3.1758754
17817,6.33286,-3.185558
17818,6.4164243,-3.1134577
17819,6.330923,-3.191366
7168,12.413207,6.159166
35840,12.482872,6.1715293
35841,12.461238,6.160795
35842,12.454158,6.1606855
35843,8.024737,2.2684152
35844,12.447449,6.1720405
563,10.59888,5.3270426
2815,10.456116,5.2091246
2816,10.220572,4.99351
2817,10.416951,5.023653
2818,10.495888,5.223025
2819,10.533573,5.2821074
6913,10.164471,0.42672604
34565,10.14562,0.38349172
34566,10.158164,0.3981341
34567,10.1484,0.40025383
34568,10.1749935,0.38186234
34569,10.131216,0.46417212
6983,7.7521973,-2.3392537
34915,7.846902,-2.5866206
34916,7.7931733,-2.3869395
34917,10.270945,7.0578556
34918,7.796446,-2.3888402
34919,7.8147993,-2.439221
5995,7.825566,7.812823
29975,7.8029943,7.773674
29976,7.7966986,7.7637544
29977,7.8041625,7.7626863
29978,7.785356,7.7699966
29979,7.805335,7.7712755
8208,10.084776,0.04775083
41040,10.095668,0.06544847
41041,10.071592,0.040108267
41042,10.065457,0.037204318
41043,10.063751,0.0043183663
41044,10.075238,0.053254824
4153,8.028245,2.1942837
20765,7.8853235,6.78408
20766,6.863856,1.2043397
20767,6.1858315,1.6981556
20768,7.7144375,6.1031337
20769,8.001659,2.1884782
7797,9.9912195,1.1423028
38985,12.834101,2.915911
38986,11.828845,3.763601
38987,9.781131,2.0011177
38988,9.898767,1.0291885
38989,12.077342,5.195277
1881,6.9605722,3.384727
9405,7.72701,6.143192
9406,6.9486184,3.3800647
9407,6.73942,2.9770515
9408,6.9600782,3.4038515
9409,8.353388,6.0361586
6875,9.188101,0.9749996
34375,9.17916,1.123137
34376,9.219692,0.9883986
34377,9.157582,0.99051136
34378,9.168424,0.9550472
34379,9.159435,0.82366204
8714,9.823631,7.5571456
43570,9.790058,7.5503716
43571,9.774076,7.5690722
43572,9.751947,7.611431
43573,9.832882,7.580462
43574,9.777264,7.522397
4164,8.005772,2.3152711
20820,9.661718,5.026721
20821,8.963284,3.89852
20822,12.178741,5.9963355
20823,11.988792,5.7207947
20824,8.007367,3.1059196
6869,7.0622716,0.36285198
34345,7.041484,0.3309073
34346,7.267843,-0.26244813
34347,7.025471,0.3479262
34348,7.0512967,0.32407638
34349,6.8959537,0.3570745
6352,9.40699,1.5270785
31760,11.872767,2.4033008
31761,12.112739,3.9855175
31762,11.816397,2.3749604
31763,10.366395,2.8270812
31764,9.535149,1.5302
3937,13.767274,4.6745076
19685,13.920505,4.66332
19686,14.123723,4.5275116
19687,13.758124,4.6868696
19688,13.764388,4.6970506
19689,14.204077,4.5509667
1346,5.7469525,-0.9368998
6730,4.924268,-1.0962397
6731,5.755338,-0.92849594
6732,5.452306,-1.1580389
6733,5.726157,-0.96688825
6734,5.3361607,-1.1330277
7042,6.784193,0.2938678
35210,6.768536,0.37067297
35211,6.844362,0.31416202
35212,6.813665,0.30176154
35213,6.8253293,0.30833998
35214,6.8330636,0.30489466
8955,11.009898,3.0059452
44775,9.804784,4.160841
44776,9.4507065,4.7406187
44777,8.689468,3.5763776
44778,9.791119,4.1631083
44779,12.073272,5.4354563
2617,4.93342,-0.9789074
13085,4.913658,-0.9865164
13086,4.967823,-0.9614122
13087,5.522332,-1.7635682
13088,5.535537,-1.7758299
13089,5.568036,-1.8297662
6724,2.8492374,-1.9736032
33620,2.9184492,-1.9927245
33621,2.807678,-1.9847282
33622,2.9394228,-1.9950747
33623,2.9434273,-1.9923719
33624,2.9320087,-1.9931444
6226,6.7628746,3.712922
31130,6.8303065,3.8494453
31131,6.7570376,3.7094889
31132,6.251572,2.7679973
31133,6.7874064,3.7517202
31134,4.986676,-0.64814574
7701,8.531985,1.5859817
38505,12.308731,4.513808
38506,8.386597,-0.7949769
38507,8.579051,5.9125056
38508,8.571201,1.592967
38509,9.5378685,-1.2378403
7549,11.523228,3.4308596
37745,11.487678,3.4164333
37746,10.601801,5.026461
37747,10.582378,5.0268574
37748,13.045147,4.079886
37749,12.983367,4.1325355
5241,5.9123755,-1.6554661
26205,5.915534,-1.6543659
26206,5.650195,-2.0247047
26207,5.91804,-1.6389111
26208,5.926417,-1.6522529
26209,6.290419,-1.7910507
8282,5.1954727,-3.6324477
41410,5.186695,-3.6253636
41411,5.19369,-3.629295
41412,5.1883965,-3.629225
41413,5.1986723,-3.6327152
41414,5.197297,-3.6172433
7435,9.533331,7.4909854
37175,8.201291,-1.1821198
37176,9.652765,7.528999
37177,6.8539605,-1.2992682
37178,6.5821795,0.030075995
37179,9.460325,7.521359
7403,11.062287,2.047272
37015,13.786338,4.097321
37016,12.1623745,5.183825
37017,13.818245,4.157981
37018,13.585923,3.6366298
37019,13.645566,3.60402
6847,8.916521,-0.09863037
34235,8.92973,-0.09586864
34236,8.889399,-0.10171035
34237,8.903955,-0.10377466
34238,8.898934,-0.08994905
34239,8.937756,-0.11209299
5182,8.48638,2.3728852
25910,7.834414,-2.6233912
25911,8.507256,2.3436606
25912,10.04974,7.445241
25913,12.636678,2.2373908
25914,6.668848,0.07688936
2685,12.904506,3.4561937
13425,12.88582,3.4381979
13426,11.006734,4.9932256
13427,12.917211,3.4523067
13428,12.87277,3.5151668
13429,12.916569,3.385857
5239,6.137556,-1.695469
26195,6.1658845,-2.252883
26196,6.1548214,-2.2979884
26197,6.148936,-2.2773662
26198,6.1916394,-2.2298355
26199,6.220081,-2.2077801
3366,8.813302,1.8783128
16830,8.766335,1.825587
16831,8.379332,-1.070499
16832,8.365989,5.171449
16833,8.41495,-1.0676209
16834,8.400789,5.2061315
8925,10.555695,7.2827983
44625,13.549931,2.969905
44626,10.5282,7.2290397
44627,9.233834,-2.3978908
44628,9.361692,-2.3945174
44629,7.91245,7.830738
5674,9.316254,0.94206667
28370,9.240166,0.96654576
28371,9.247235,0.9631248
28372,9.209234,0.8439487
28373,9.263649,0.98761415
28374,9.238092,0.9767193
2003,7.850724,7.9064
10015,9.088068,-1.1471059
10016,7.880094,7.9099717
10017,9.126889,8.541706
10018,12.652926,2.1762552
10019,9.032467,-1.1490355
8475,8.741287,1.1211101
42375,8.771372,1.1116462
42376,8.796629,1.0820075
42377,8.716886,1.1704344
42378,8.737789,1.1132967
42379,8.773719,1.1051055
2861,4.4556503,-1.2810204
14305,4.457967,-1.2895249
14306,4.441339,-1.2859267
14307,4.4467216,-1.2851574
14308,4.4536448,-1.2809744
14309,4.453609,-1.2872883
9659,7.9352202,-1.217551
48295,7.911436,-1.23628
48296,7.9485555,-1.2247039
48297,8.160552,7.5958195
48298,9.646216,7.6488957
48299,9.707201,7.686115
9620,13.605717,2.811001
48100,13.47385,3.3341095
48101,13.554933,3.1099167
48102,13.498551,3.1692812
48103,13.102478,3.1224225
48104,13.454759,3.067565
4550,5.103004,3.363635
22750,5.1259174,3.3505926
22751,5.0682077,3.3347864
22752,7.390693,-0.08447643
22753,5.0994086,3.3106732
22754,5.0168757,3.2867978
7628,7.9217296,2.2148516
38140,8.086218,3.1809685
38141,12.000416,5.6787477
38142,7.901657,2.2469745
38143,11.446429,5.940078
38144,10.237266,5.4612083
4751,9.549948,1.4888445
23755,9.535798,1.4640043
23756,9.543476,1.4850787
23757,9.544505,1.4734341
23758,9.567689,1.4882076
23759,9.543612,1.480929
6220,11.461458,1.5871471
31100,11.439359,1.5657234
31101,11.3794565,1.5670757
31102,11.367307,1.5867473
31103,11.446913,1.5807737
31104,8.987309,-1.6275572
3524,2.756201,-1.9873431
17620,2.8072093,-1.983996
17621,2.774459,-1.9809929
17622,2.7882745,-1.9845923
17623,2.7858238,-1.9834644
17624,2.7901697,-1.9836781
5546,9.077038,0.43571362
27730,9.043453,0.47740445
27731,9.043516,0.46621394
27732,9.053118,0.45936325
27733,9.070415,0.45977822
27734,9.082385,0.39373264
7728,8.570629,1.7551606
38640,12.702612,5.582158
38641,12.793474,5.53133
38642,9.284405,4.46118
38643,10.529016,5.1736774
38644,7.715102,-0.9831447
8926,12.9193535,3.4393072
44630,10.321359,4.335001
44631,10.647387,5.0548744
44632,10.668141,5.275503
44633,12.216809,5.1290035
44634,12.648709,4.0711956
3477,8.480049,1.4846686
17385,8.481916,1.4593214
17386,8.121449,1.240643
17387,8.462014,1.4680864
17388,8.139208,1.2521393
17389,8.467424,1.45641
8436,9.315028,-2.4030247
42180,9.317566,-2.3960023
42181,9.322614,-2.4057398
42182,9.325596,-2.454823
42183,9.334862,-2.433099
42184,9.322658,-2.468493
9447,8.680093,7.559837
47235,8.611518,7.5041385
47236,8.672463,7.5685215
47237,8.66688,7.5555406
47238,8.684604,7.55516
47239,8.6796255,7.5620966
4735,3.2759075,-2.030897
23675,3.2731903,-2.0162976
23676,3.279235,-2.0311897
23677,3.2761369,-2.0233462
23678,3.2650986,-1.9894848
23679,3.2751884,-2.02182
3536,9.833495,1.8520931
17680,9.797746,1.8049347
17681,9.805419,1.7679785
17682,9.8001995,1.8639069
17683,9.834266,1.816318
17684,12.194836,2.6683552
200,13.630309,3.621344
1000,13.62578,3.6662924
1001,9.30893,3.276801
1002,13.5878315,4.5527897
1003,13.615234,4.526351
1004,14.28335,4.4592023
3419,12.677849,5.3870797
17095,8.927047,3.5072327
17096,12.67314,5.529948
17097,12.004444,4.832159
17098,12.5435705,5.477731
17099,8.130679,2.8303943
8109,6.060362,1.2376529
40545,6.03529,1.1851795
40546,6.044416,1.1737082
40547,6.074951,1.2040365
40548,6.048623,1.1335388
40549,6.1056447,1.0361673
1225,4.4503913,-2.8560991
6125,5.7515864,-0.91248685
6126,4.464753,-2.886926
6127,4.383353,-2.8757505
6128,4.7880197,-1.3396318
6129,4.376312,-2.8823555
1691,7.9818373,-0.10414563
8455,7.8908167,-0.11462048
8456,8.9514675,8.2608385
8457,7.976858,-0.09697789
8458,8.853805,8.252313
8459,7.9813876,-0.11933897
6978,5.4962935,-2.1536899
34890,5.474943,-2.1480103
34891,6.356171,-2.5670493
34892,5.582037,-2.2234044
34893,6.3351173,-2.4269679
34894,5.4796166,-2.141427
6898,7.9375653,4.039933
34490,7.922957,4.069753
34491,7.930735,4.052992
34492,7.8749104,6.6843743
34493,7.9430585,4.0539355
34494,7.924741,4.0476313
5949,10.834127,1.9875104
29745,10.847067,2.0145297
29746,10.845805,1.9681469
29747,8.149651,-0.54057586
29748,10.881112,2.001283
29749,10.840177,1.988391
4941,9.120861,8.46185
24705,9.098652,8.491277
24706,9.071493,-1.461264
24707,9.181711,8.193371
24708,9.082724,8.506796
24709,9.075774,8.510323
1867,8.211418,-2.1420677
9335,8.287826,-2.2830498
9336,8.765398,-1.850766
9337,8.715428,-1.8686265
9338,8.240794,-2.109698
9339,8.393932,-2.2622347
4394,5.0298495,-0.47202876
21970,5.0350595,-0.47733477
21971,5.0277677,-0.45745268
21972,5.0327067,-0.4846865
21973,5.0471926,-0.43777364
21974,5.023412,-0.4599856
689,10.16404,0.9037959
3445,9.734052,1.8825272
3446,9.560054,1.9286485
3447,12.5284815,2.8086872
3448,10.150412,0.82759047
3449,9.698865,1.9435917
621,5.459532,-0.741757
3105,5.0357385,-0.8720456
3106,5.1839542,-1.100342
3107,5.4594784,-0.75227153
3108,5.073936,-0.8472484
3109,5.3812776,-0.76461285
4129,10.161243,5.6120377
20645,10.101767,5.6898203
20646,12.289823,6.138218
20647,12.208754,6.1020684
20648,9.941555,5.5248156
20649,10.181485,5.59682
4266,7.6930265,2.117259
