,x,y
7473,0.7181337,14.681728
37365,0.7303824,14.704889
37366,0.7285946,14.703715
37367,0.72873825,14.693544
37368,0.7155281,14.686634
37369,0.7269437,14.698377
6177,21.491667,10.765088
30885,21.491106,10.764865
30886,21.491777,10.764816
30887,21.494392,10.76439
30888,21.491758,10.76465
30889,21.489534,10.762265
7116,10.326425,7.1483164
35580,10.322107,7.1433105
35581,10.3294,7.1509533
35582,10.327895,7.150264
35583,10.324609,7.143866
35584,10.329987,7.150943
4644,10.432379,-6.429348
23220,10.440922,-6.411618
23221,10.385242,-6.4225025
23222,10.424811,-6.4370008
23223,10.472986,-6.388384
23224,10.442642,-6.4102306
8202,9.472915,6.5992255
41010,9.49337,6.570953
41011,9.490587,6.5772505
41012,9.491088,6.5807724
41013,9.491787,6.58036
41014,9.491725,6.5809965
233,5.466168,0.143171
1165,5.4573627,0.15091841
1166,5.456927,0.15379824
1167,5.46061,0.16718192
1168,5.456732,0.13651972
1169,5.47489,0.16431533
8974,9.351421,12.593412
44870,9.362137,12.5780525
44871,9.337091,12.609334
44872,9.336556,12.60825
44873,9.347546,12.599348
44874,9.347245,12.599887
9071,2.8261328,-3.1726167
45355,2.8249855,-3.1644704
45356,2.8258648,-3.1538193
45357,2.8106325,-3.159978
45358,2.8217125,-3.1649332
45359,2.8208706,-3.173952
5458,6.133505,0.80682653
27290,6.1319575,0.80876553
27291,6.13256,0.8074445
27292,6.1358395,0.80315804
27293,6.1457443,0.79127675
27294,6.1281643,0.81137323
2017,-2.6755695,9.019637
10085,-2.6675177,9.012486
10086,-2.681876,9.024381
10087,-2.6664033,9.015771
10088,-2.6636143,9.01298
10089,-2.6564717,9.004826
807,12.816122,0.6686292
4035,12.815005,0.6742328
4036,12.778414,0.6849849
4037,12.785305,0.6848322
4038,12.799467,0.6757582
4039,12.8116,0.6681431
2325,5.7234454,8.130821
11625,5.7322226,8.146429
11626,5.7372565,8.151351
11627,5.7327204,8.147662
11628,5.72835,8.134481
11629,5.7354736,8.142296
6315,-0.9534311,22.019377
31575,-0.96683514,22.032692
31576,-0.96385485,22.029713
31577,-0.96392304,22.029772
31578,-0.9650996,22.030933
31579,-0.9887485,22.054565
7653,10.108937,9.005694
38265,10.128198,9.0178385
38266,10.112825,9.009377
38267,10.086066,8.977374
38268,10.114237,8.997333
38269,10.0918045,8.984926
9483,11.013766,15.938468
47415,11.002653,15.929818
47416,11.016048,15.939355
47417,11.017421,15.941949
47418,11.016033,15.939924
47419,11.018959,15.942455
4087,6.4251885,-8.796013
20435,6.4062076,-8.813289
20436,6.4227223,-8.803309
20437,6.423487,-8.796513
20438,6.410031,-8.810803
20439,6.420404,-8.801487
274,11.921045,-13.455031
1370,11.916745,-13.4383
1371,11.943804,-13.425758
1372,11.925293,-13.421084
1373,11.936417,-13.429064
1374,11.952057,-13.406448
1882,16.708565,4.817522
9410,16.720127,4.7936916
9411,16.741938,4.768093
9412,16.696337,4.8130136
9413,16.72891,4.790603
9414,16.733517,4.7877464
4393,12.282096,18.260077
21965,12.267428,18.242891
21966,12.263459,18.243752
21967,12.262953,18.243275
21968,12.261651,18.243477
21969,12.261348,18.244688
1628,12.121354,-12.549551
8140,12.114665,-12.557644
8141,12.1288595,-12.562198
8142,12.123973,-12.5633335
8143,12.116808,-12.560774
8144,12.120221,-12.551153
4954,1.8717173,17.2241
24770,1.8328097,17.230284
24771,1.8581803,17.22049
24772,1.8287171,17.23796
24773,1.8490026,17.222746
24774,1.8469849,17.234804
2500,5.9175696,-1.8704551
12500,5.918374,-1.8748593
12501,5.908162,-1.8543048
12502,5.9127226,-1.8716704
12503,5.9079957,-1.8598427
12504,5.909407,-1.8718735
2781,13.211874,-9.793489
13905,13.198307,-9.79334
13906,13.211886,-9.792627
13907,13.22671,-9.7961035
13908,13.209153,-9.791462
13909,13.194541,-9.786071
4444,9.885959,4.634332
22220,9.893419,4.638076
22221,9.88759,4.6132913
22222,9.827803,4.6900086
22223,9.931672,4.5452313
22224,9.88979,4.593163
8913,22.226025,14.26951
44565,22.240042,14.283638
44566,22.225306,14.267744
44567,22.234015,14.278399
44568,22.22369,14.276523
44569,22.219158,14.263786
6882,2.8366997,-3.2320573
34410,2.8501728,-3.1904027
34411,2.8136792,-3.2347937
34412,2.8114264,-3.2215693
34413,2.8534122,-3.213113
34414,2.8345711,-3.2015898
6044,6.8729324,19.059582
30220,6.8738623,19.081707
30221,6.897098,19.097727
30222,6.8768854,19.066004
30223,6.902321,19.106524
30224,6.8874016,19.062624
4669,3.2084165,9.509452
23345,3.206472,9.506301
23346,3.2067864,9.508199
23347,3.2070146,9.510729
23348,3.2149909,9.509847
23349,3.2053385,9.50749
8471,18.36339,0.6482832
42355,18.344831,0.6662344
42356,18.362701,0.64724475
42357,18.368029,0.6423649
42358,18.370216,0.6393792
42359,18.355078,0.65772915
1414,5.4357495,-1.5092093
7070,5.404965,-1.5514239
7071,5.4240456,-1.5095545
7072,5.4209394,-1.526912
7073,5.447584,-1.4961668
7074,5.424206,-1.5195554
5097,3.5612557,-3.3784616
25485,3.4994452,-3.4039857
25486,3.5257246,-3.3904793
25487,3.4808686,-3.364864
25488,3.4641118,-3.3877203
25489,3.6528916,-3.405761
3499,1.9756039,4.571044
17495,1.9736446,4.549849
17496,1.9722466,4.5440755
17497,1.9734908,4.5508046
17498,1.9728827,4.5408144
17499,1.9737198,4.5524235
725,11.309072,-12.5570545
3625,11.306142,-12.5553465
3626,11.311712,-12.558789
3627,11.33249,-12.571109
3628,11.312728,-12.557322
3629,11.314006,-12.557727
2133,11.934616,-13.441348
10665,11.947364,-13.438358
10666,11.94704,-13.420743
10667,11.934036,-13.416059
10668,11.942437,-13.388679
10669,11.979801,-13.440704
352,11.974731,-7.6131043
1760,11.974604,-7.6123567
1761,11.974904,-7.6100435
1762,11.974624,-7.6089272
1763,11.995038,-7.627367
1764,11.980991,-7.615731
8659,10.742988,2.4011633
43295,10.709006,2.4306703
43296,10.731933,2.408066
43297,10.73483,2.4036555
43298,10.734041,2.4076543
43299,10.7378025,2.401154
162,12.11626,-12.509474
810,12.106051,-12.515781
811,12.119001,-12.512951
812,12.116015,-12.526064
813,12.108917,-12.526649
814,12.109391,-12.529435
832,3.0300803,14.234283
4160,3.0562081,14.208426
4161,3.0610173,14.202028
4162,3.053883,14.21339
4163,3.056665,14.206532
4164,3.057372,14.206495
228,6.5850997,0.47489914
1140,6.611682,0.4740661
1141,6.62303,0.4728085
1142,6.564046,0.47723743
1143,6.6126776,0.47346413
1144,6.611038,0.46812937
2953,1.9398234,4.164481
14765,1.9554623,4.148889
14766,1.9408109,4.172962
14767,1.9407536,4.171466
14768,1.9041477,4.2192626
14769,1.9492671,4.1533113
751,13.185394,-9.793883
3755,13.201588,-9.801888
3756,13.163187,-9.779226
3757,13.182183,-9.782677
3758,13.172574,-9.786885
3759,13.1214075,-9.772534
6087,-2.4103878,8.883786
30435,-2.3690693,8.858527
30436,-2.3953934,8.873189
30437,-2.388042,8.869488
30438,-2.392002,8.872672
30439,-2.391528,8.873336
3058,15.632572,15.917123
15290,15.623343,15.913591
15291,15.619361,15.9059
15292,15.600483,15.901216
15293,15.612493,15.902494
15294,15.594087,15.902038
4194,11.0057335,13.410036
20970,10.999936,13.404929
20971,11.014252,13.40824
20972,11.002244,13.409479
20973,11.008999,13.408963
20974,11.022047,13.40753
7552,11.784509,24.59108
37760,11.80537,24.609465
37761,11.795683,24.59831
37762,11.819423,24.6192
37763,11.788065,24.588507
37764,11.807666,24.610907
8028,-2.305655,8.8022585
40140,-2.2991946,8.797978
40141,-2.2990155,8.798439
40142,-2.2826009,8.781758
40143,-2.2826374,8.782525
40144,-2.2902048,8.788864
3563,13.910483,-8.834374
17815,13.915084,-8.83054
17816,13.909928,-8.83463
17817,13.916958,-8.825927
17818,13.924706,-8.810382
17819,13.916157,-8.813853
7168,0.57682663,15.245928
35840,0.60116875,15.217574
35841,0.5750916,15.255369
35842,0.5933317,15.228508
35843,0.60358316,15.214762
35844,0.60157603,15.223737
563,6.4518023,11.096222
2815,6.4725666,11.088062
2816,6.456066,11.091177
2817,6.4511313,11.113466
2818,6.493271,11.058301
2819,6.47017,11.0979595
6913,8.008999,16.107586
34565,7.978622,16.122704
34566,7.9935274,16.119343
34567,7.982134,16.123537
34568,7.9898963,16.11968
34569,7.9801664,16.124233
6983,11.467752,5.0614347
34915,11.467139,5.0713143
34916,11.459496,5.062462
34917,11.45584,5.061377
34918,11.454526,5.060667
34919,11.467539,5.071234
5995,17.365383,3.3216631
29975,17.371496,3.325768
29976,17.395067,3.332234
29977,17.368929,3.3253596
29978,17.37079,3.3246863
29979,17.373714,3.3262653
8208,11.247081,22.826605
41040,11.247759,22.81711
41041,11.246963,22.822533
41042,11.246726,22.821297
41043,11.241565,22.832895
41044,11.245858,22.820913
4153,5.9762177,2.4659424
20765,5.999288,2.493094
20766,5.986589,2.477499
20767,5.9905477,2.4789069
20768,5.964043,2.454725
20769,5.9883804,2.4793448
7797,11.225855,23.457441
38985,11.256966,23.520555
38986,11.222553,23.496857
38987,11.235225,23.483154
38988,11.234668,23.471779
38989,11.2432375,23.505293
1881,6.0336375,2.5232382
9405,6.047847,2.548446
9406,6.0443296,2.5414894
9407,6.0446596,2.5456247
9408,6.0577044,2.5579252
9409,6.0505147,2.5478494
6875,3.318297,12.839998
34375,3.318951,12.837589
34376,3.3201249,12.842055
34377,3.3178463,12.839706
34378,3.3149555,12.86274
34379,3.3164868,12.849335
8714,5.475353,-7.9936056
43570,5.4462442,-7.992916
43571,5.4664946,-7.989207
43572,5.4615664,-7.9875383
43573,5.4609404,-7.994727
43574,5.4580374,-7.9862003
4164,10.551609,13.456635
20820,10.526524,13.436419
20821,10.523338,13.436288
20822,10.502812,13.442173
20823,10.554174,13.467863
20824,10.536463,13.4373045
6869,9.531055,6.609615
34345,9.506809,6.582053
34346,9.497589,6.573481
34347,9.508282,6.584772
34348,9.4951725,6.5811563
34349,9.501018,6.585939
6352,3.3060439,12.371366
31760,3.3055418,12.37611
31761,3.3062842,12.400218
31762,3.3059158,12.39367
31763,3.305802,12.387354
31764,3.30746,12.437002
3937,15.658932,11.3973255
19685,15.687375,11.404638
19686,15.68176,11.426758
19687,15.659843,11.396996
19688,15.674977,11.390131
19689,15.666645,11.411892
1346,12.031915,-13.336535
6730,11.963992,-13.39544
6731,12.031275,-13.34023
6732,12.022929,-13.357328
6733,12.011297,-13.289548
6734,11.976549,-13.406182
7042,10.342045,7.1580496
35210,10.34081,7.1566286
35211,10.340614,7.156829
35212,10.333475,7.152512
35213,10.342811,7.159175
35214,10.341256,7.1574187
8955,2.5423057,8.859628
44775,2.541766,8.858641
44776,2.539765,8.856369
44777,2.536612,8.871557
44778,2.5411994,8.861062
44779,2.5415504,8.861916
2617,9.5866,-8.180025
13085,9.600085,-8.165195
13086,9.604668,-8.161218
13087,9.596583,-8.170491
13088,9.602654,-8.163583
13089,9.590734,-8.1757
6724,7.7791486,-12.833267
33620,7.8477035,-12.782997
33621,7.779599,-12.849073
33622,7.7965198,-12.845725
33623,7.7845,-12.843866
33624,7.7955546,-12.823992
6226,14.442784,-4.9890184
31130,14.458787,-4.9745603
31131,14.454718,-4.973672
31132,14.470561,-4.9670734
31133,14.472854,-4.959899
31134,14.45459,-4.9699826
7701,21.692017,14.211509
38505,21.703758,14.200831
38506,21.70404,14.199902
38507,21.703527,14.200537
38508,21.705692,14.201156
38509,21.698624,14.205039
7549,11.762645,24.566936
37745,11.759944,24.550734
37746,11.755256,24.558455
37747,11.74372,24.548092
37748,11.755847,24.559586
37749,11.746814,24.551403
5241,9.875952,-7.655846
26205,9.900119,-7.627203
26206,9.890407,-7.6334925
26207,9.876832,-7.664329
26208,9.889639,-7.652139
26209,9.882162,-7.6523833
8282,19.930044,7.368368
41410,19.938335,7.3773746
41411,19.94342,7.3819337
41412,19.938272,7.37761
41413,19.936073,7.3749003
41414,19.9432,7.3821616
7435,6.906471,4.006795
37175,6.924021,4.033757
37176,6.914822,4.027222
37177,6.899992,4.014173
37178,6.912039,4.0218587
37179,6.9106274,4.0221596
7403,11.996939,16.161118
37015,11.983087,16.175793
37016,11.997872,16.165976
37017,11.98551,16.178614
37018,12.0001745,16.169508
37019,12.002195,16.160383
6847,20.151642,7.10567
34235,20.154453,7.0781775
34236,20.150896,7.105417
34237,20.152489,7.092075
34238,20.152292,7.093203
34239,20.150764,7.095672
5182,20.1277,-0.06331299
25910,20.134724,-0.06930889
25911,20.141548,-0.07738957
25912,20.145758,-0.08197847
25913,20.130516,-0.06663091
25914,20.16726,-0.10179056
2685,8.005364,17.175955
13425,8.029892,17.147509
13426,8.024325,17.15072
13427,8.0232725,17.150309
13428,8.024411,17.153114
13429,8.020619,17.15843
5239,9.917178,-6.5045347
26195,9.9141245,-6.4914365
26196,9.9379835,-6.521821
26197,9.915583,-6.498035
26198,9.9123335,-6.5002203
26199,9.888518,-6.475118
3366,17.731247,-1.5409702
16830,17.725628,-1.5351173
16831,17.721445,-1.5383096
16832,17.73885,-1.5492406
16833,17.732317,-1.5360559
16834,17.731758,-1.5420902
8925,14.724224,20.09463
44625,14.6862755,20.082253
44626,14.69761,20.089542
44627,14.687796,20.075829
44628,14.687577,20.082848
44629,14.699085,20.085035
5674,11.273498,16.12924
28370,11.256894,16.116505
28371,11.248441,16.109653
28372,11.266251,16.123291
28373,11.25629,16.110958
28374,11.283132,16.141079
2003,17.337814,8.08589
10015,17.352419,8.103901
10016,17.36868,8.123261
10017,17.349585,8.113165
10018,17.364347,8.094535
10019,17.36019,8.096838
8475,7.704512,20.630419
42375,7.734423,20.601297
42376,7.7311764,20.606052
42377,7.7459826,20.58975
42378,7.7430944,20.588799
42379,7.732861,20.602903
2861,8.305154,-12.518909
14305,8.30238,-12.521203
14306,8.305808,-12.519176
14307,8.301256,-12.52141
14308,8.307467,-12.521812
14309,8.303946,-12.520439
9659,10.54757,-2.7879431
48295,10.559954,-2.7986069
48296,10.545067,-2.7858224
48297,10.538358,-2.796706
48298,10.560573,-2.7999227
48299,10.55937,-2.7993484
9620,6.9701843,14.917172
48100,6.967734,14.92251
48101,6.969604,14.922217
48102,6.971285,14.910319
48103,6.9690933,14.918381
48104,6.967884,14.922053
4550,2.9493215,-3.1551182
22750,2.973,-3.1681361
22751,2.946577,-3.1486013
22752,2.974363,-3.1644177
22753,2.9435232,-3.1546028
22754,2.9529152,-3.1593719
7628,10.330557,12.765354
38140,10.3350725,12.772057
38141,10.330871,12.76774
38142,10.334215,12.770514
38143,10.338158,12.777166
38144,10.330336,12.764355
4751,3.296809,12.979193
23755,3.2916603,12.988567
23756,3.2970622,12.9621935
23757,3.2968533,12.971194
23758,3.2950468,12.963235
23759,3.2950954,12.967184
6220,15.757005,-0.59234405
31100,15.773162,-0.6102755
31101,15.764212,-0.6006375
31102,15.753433,-0.5860827
31103,15.755492,-0.59044605
31104,15.7522745,-0.5830712
3524,7.677972,-12.755172
17620,7.658615,-12.730149
17621,7.683559,-12.760274
17622,7.6756454,-12.740517
17623,7.690371,-12.766152
17624,7.685416,-12.759254
5546,24.135424,11.677197
27730,24.159727,11.703351
27731,24.153902,11.697624
27732,24.147903,11.691898
27733,24.184608,11.727787
27734,24.157658,11.7016325
7728,11.789631,16.971361
38640,11.755835,16.93385
38641,11.77485,16.938795
38642,11.757698,16.95069
38643,11.772218,16.950584
38644,11.765328,16.954247
8926,9.750187,23.208094
44630,9.750056,23.211304
44631,9.761047,23.196442
44632,9.755567,23.200775
44633,9.750245,23.20776
44634,9.749846,23.207575
3477,17.710407,-1.8955336
17385,17.709156,-1.8958902
17386,17.709976,-1.8787632
17387,17.713348,-1.898312
17388,17.710348,-1.894062
17389,17.71,-1.8941598
8436,10.340386,19.950832
42180,10.336299,19.950272
