0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
157349608110.3782,8395.811332971081,-62005466810.60528,-45460258924.92875,31587.054677140248,2161.4255241429564,-62005466483.36089,157349607607.98334,-62005466827.293785,4957.7601362470505,2324.290193425616,23728.81659794712,-49883935750.09317,-49883935593.652885,-62005467580.375534,157349607599.85968,5009.112187870304,-45460263517.31899,-251.57470852253437,-71174835.45911801,157349607574.71857,-45460259996.35197,48346336.24716118,-62005467269.804955,-49883935015.02316,3685575346.706895,-45460261454.38841,-55036.99442879233,46592.20242573019,3642795411.064394,157349608432.94656,157349607552.0955,-49883933455.86695,-49883936091.028015,157349604816.61713,-39236.47795470506,157349606966.8053,-45460261665.14856,7278.2938112082975,71175008.7248121,4385.001011553714,6652.666247398552,-49883936315.63054,3685572436.0329638,-62005466817.63835,157349607524.76,-1694390015.4138286,157349606242.73618,7061.922313266421,-20747.271042882894,-62005465769.27884,157349608100.17398,-49883934102.27283,2509.6618314363413,1646063931.3151035,2741.5495923675053,-10387.297887860563,-62005467283.177086,4248.042763888179,-5288842136.3682375,7939.10832411295,-45460261820.48389,-49883934548.94013,-3685575467.453442,-11982.477050076344,-45460256248.368095,-49883940673.65905,-62005464179.53763,3642784493.480798,-45460263079.478325,3065.7738956895887,48335832.2282819,-62005466079.99774,-62005468136.98944,10884.43435941079,-49883926671.250595,38842.27516881998,-49883934702.383766
8456.906040898317,4.409582395139369,-8446.50972878628,-1122.3533759319337,8.733136785757189,0.4345993242903464,-8446.448876483819,8456.82602306725,-8446.47218132362,3.4223413047983695,3.5173026138015877,-13.6488024348752,1118.4681673835632,1118.3927880987767,-8447.31665591181,8456.815814230098,3.6015536732910385,-1122.6167889527298,-0.194079402942478,-435.0796680062555,8456.939778086582,-1122.0956648428273,-163.14313450750728,-8446.48237010194,1118.3664771000012,131.4609952793175,-1122.2084084780124,-0.6742160490356167,-5.39086400178246,53.18579127822828,8456.972386075462,8456.800603457283,1118.293456296711,1118.4078572599462,8456.735167422545,-2.588348766344552,8456.926663075583,-1122.2425773777675,3.0400282254194013,435.0264461848162,3.9182220590699526,0.5959107325523523,1118.211722622481,130.725974068842,-8446.540255858114,8456.96475412058,-160.3458669805337,8456.84856978226,0.611160466846706,-7.589344768278602,-8446.49887345453,8456.864412301733,1118.3632304435614,3.151169265842351,328.2795521193026,-0.17533563918429873,1.1715926161960895,-8446.55922007018,3.3708166772417845,-376.0832054101256,1.504982296399968,-1122.6324141182104,1118.3437634032373,-132.13902503297103,2.163928952064332,-1122.5862327023312,1118.403676205048,-8447.358376420114,51.037845059936814,-1122.5022647094831,3.1865083864344346,-163.1612157813633,-8446.469930888721,-8446.790002257909,0.5414208471180137,1118.9319873189256,2.414379325999616,1118.4261857773006
-63188834184.3227,-8448.890676965308,148416187256.37198,-42788613931.79909,-48819.30783929762,7401.375735353436,148416187419.62274,-63188834350.18585,148416187236.6654,-6853.0705519372705,-6990.760550283583,-41836.36801662816,-42439028725.16192,-42439028882.524734,148416185970.9566,-63188833957.2942,-5841.585280367513,-42788608599.45924,810.6733535970689,25919596.600625068,-63188834404.363815,-42788612944.28877,2650640642.360101,148416187548.81104,-42439029007.74381,255212139.08037588,-42788612024.521645,18485.896745596074,298683.07134704414,760767526.1175463,-63188834693.5293,-63188834401.609665,-42439027312.62956,-42439028528.52802,-63188832837.71692,43580.99939609672,-63188833427.95069,-42788611605.63025,-7291.292174057484,-25920183.53575151,-6206.3732156447095,-10540.122116934346,-42439028599.54192,255210239.8046582,148416187144.73056,-63188834345.49448,4357991793.477421,-63188833754.70115,-4290.811959114282,32738.741867784407,148416186972.86,-63188834506.36344,-42439030758.28158,-4365.3392867397215,-7008644505.298698,-2222.3686567594145,29917.670510924992,148416187708.7005,-4958.988445202939,6247868209.988522,18694.969890779623,-42788609191.99701,-42439027938.3869,-255206169.87279138,-7476.158359567475,-42788616370.37253,-42439028827.51585,148416175256.2,760771866.7626137,-42788610243.9733,-4191.510484984522,2650649384.0971546,148416187206.83963,148416188553.89212,-25065.921556297388,-42439032158.90362,-42564.82192981794,-42439028818.0547
-45741079219.782555,-1251.835222044098,-40228431325.335045,130808637565.74915,25971.502061003106,-5386.384984297582,-40228432706.02953,-45741079450.79707,-40228431752.22583,-4032.1767626737933,1857.2115501090038,11102.936047256975,-44838945092.2956,-44838945358.38822,-40228430022.90593,-45741079369.54843,-137.40014510451098,130808641153.27957,-1233.4525430423055,24549766.603158444,-45741078332.64308,130808640544.33315,2793035613.0579104,-40228431720.364075,-44838946129.2897,-2267487980.2596736,130808641428.92313,37401.50394382462,-180808.34295790756,1717166146.3818192,-45741078974.42714,-45741080919.98375,-44838947958.49258,-44838945135.09621,-45741079642.330376,-13126.680077498037,-45741078617.97275,130808640284.74158,-3542.9771356023866,-24549632.529164124,-482.17259460252876,-5958.642039196901,-44838945350.58919,-2267481763.6797523,-40228431340.47506,-45741078844.96776,-7218355270.291732,-45741078763.3601,-5087.9764570469615,-15175.315861476272,-40228432097.94956,-45741079499.82432,-44838945107.779655,2695.1470733794386,4425300660.1456,-1908.8010535290975,-19537.821238435627,-40228431223.181015,2187.890249157868,-6142487277.89496,-1490.0334012224803,130808640169.17326,-44838945745.09577,2267489318.201821,11502.929898854145,130808640651.6044,-44838951887.65541,-40228428025.0074,1717161559.8944643,130808641497.26086,2531.5457111053424,2793040994.445448,-40228432278.061966,-40228431383.688156,18718.91371669066,-44838946612.76775,11919.569566762939,-44838945319.72059
31762.15365507571,8.733098577841842,-48044.98151012569,26479.566831923545,97.23935482429815,-1.4555271082608991,-48045.12793629207,31761.581623377555,-48044.95797351274,6.566464371736996,9.852182832582965,1.6821839055321959,-10079.057686997336,-10078.576227130181,-48046.438955519574,31762.016745655274,6.911009040437014,26480.471778705414,-2.8090070299732606,-12866.092862171177,31762.329501337335,26481.78125021723,53.354335875100965,-48045.07834593739,-10078.662147200792,171.10519278650943,26481.734810369348,6.819419811594588,-120.26415549238902,875.2257669041377,31762.25604299431,31761.15638434114,-10078.736835737185,-10078.136359470598,31760.65685060896,-10.07182370169777,31761.938213856683,26481.535328161433,7.351391812073091,12865.684535996981,8.593303632268857,-0.09918841447950835,-10078.169229326002,171.85607710465388,-48044.91757747617,31762.38338885873,-2601.9563759806106,31760.551309816095,-1.1991686672545185,-76.28655762986968,-48044.91008756654,31762.04497965382,-10078.386139867389,10.323755504003307,2547.5840029736805,0.5460325552995543,-10.9802789281464,-48044.79214748263,12.460008449193532,-3423.88899401864,0.3561930660456928,26480.51397279371,-10078.58018348082,-171.626904630179,7.089704294165269,26481.592829164732,-10078.942339063713,-48047.32932969065,869.4606850313817,26480.999278387724,10.437511436102366,52.918190530533494,-48044.87815345345,-48045.46065670071,32.0976291243634,-10071.536301708367,8.773593962482556,-10078.65582717689
2091.7575871665713,0.4345983142016366,7418.697916760504,-5537.083637063004,-1.455576651617063,2.856163007779173,7418.67516890084,2091.7627468352653,7418.6607758815135,0.35426582263595585,0.31065825559604643,2.5691590536529874,-3958.473888946731,-3958.4785325293046,7418.630042355205,2091.7858582483655,0.40136686275370237,-5537.533051534855,0.05533790057446964,-343.92585255980003,2091.719104996059,-5537.286310928543,138.63815008345387,7418.645605681509,-3958.4605499131408,168.11488024530817,-5537.347217731283,0.5966567468768881,-15.813638107498276,159.42014477309152,2091.755292787637,2091.7755710104557,-3958.3940437266733,-3958.506087410713,2091.769890695357,-1.1861003041702136,2091.756894300265,-5537.376527079566,0.7420679104313164,344.14236357706403,0.3111973346257071,-1.1097202216536208,-3958.4295549446956,168.06255178929587,7418.676072452762,2091.7188085856897,280.8028043317098,2091.774635363165,0.669131535242705,1.5225988640170058,7418.66986338797,2091.7722244694,-3958.4320796470474,0.25820575413133556,-418.51618990272095,-0.029883569180342944,-0.21834971232649966,7418.663690926673,0.2788223557508869,259.82365575474444,0.18190269167673917,-5537.479186805314,-3958.4435144570857,-168.20432716114414,-0.08007018360385047,-5537.2224390334595,-3958.3433074033874,7418.573730795629,158.87520782438025,-5537.500238745591,0.2477595284164498,138.59792109577216,7418.659034107086,7418.657918876727,-0.35459975936544774,-3958.636252382219,1.2257521412228671,-3958.421035614684
-63188833850.2402,-8448.827209592982,148416187416.44186,-42788615336.51992,-48819.503743658446,7401.372149757981,148416187579.80807,-63188834016.10919,148416187396.7876,-6852.9867302851,-6990.764659687927,-41835.32709916809,-42439027813.92702,-42439027971.29235,148416186130.9821,-63188833623.20855,-5841.519428397959,-42788610004.22723,810.6740180308168,25919618.534687974,-63188834070.289085,-42788614349.04955,2650640595.4124293,148416187708.94766,-42439028096.51838,255212155.879703,-42788613429.29591,18485.917300104637,298682.189230032,760767488.9824302,-63188834359.45552,-63188834067.53157,-42439026401.396545,-42439027617.2994,-63188832503.63926,43581.21256103175,-63188833093.87403,-42788613010.401054,-7291.253844798968,-25920205.467183504,-6206.335083578742,-10540.152648575056,-42439027688.294136,255210256.6379129,148416187304.7995,-63188834011.42064,4357991876.77645,-63188833420.62136,-4290.772105537261,32739.129226767072,148416187132.94797,-63188834172.27569,-42439029847.04152,-4365.4356324506825,-7008644541.838984,-2222.353735955842,29917.970599982717,148416187868.7656,-4959.097742843757,6247868283.572695,18695.10148732087,-42788610596.76012,-42439027027.15438,-255206186.7322428,-7476.1791770932305,-42788617775.071495,-42439027916.28197,148416175416.1723,760771829.4881537,-42788611648.74337,-4191.604404466434,2650649337.154305,148416187366.94464,148416188713.9353,-25066.27902989272,-42439031247.65077,-42565.01729140695,-42439027906.82484
157349607612.34436,8395.732625373972,-62005467155.253204,-45460258980.42957,31586.480950860663,2161.4261720211416,-62005466828.01445,157349607110.12973,-62005467171.94317,4957.689461812651,2324.2842283784908,23728.16297883905,-49883934852.9955,-49883934696.52968,-62005467925.03368,157349607101.81204,5009.032968245748,-45460263572.75811,-251.56194577445444,-71172541.44206034,157349607076.71396,-45460260051.79642,48346305.03006607,-62005467614.45319,-49883934117.90559,3685575328.1166463,-45460261509.83111,-55037.08360753465,46593.38345977183,3642795368.9706,157349607934.9983,157349607054.05307,-49883932558.74576,-49883935193.90507,157349604318.60205,-39236.544384361725,157349606468.8709,-45460261720.595535,7278.209768950068,71172714.70777951,4384.939339909572,6652.633070695076,-49883935418.51158,3685572417.320687,-62005467162.28501,157349607026.7685,-1694389998.593041,157349605744.70245,7061.904148559985,-20747.067406185946,-62005466113.92805,157349607602.13733,-49883933205.151344,2509.6074228140305,1646063945.6467764,2741.5545496470068,-10387.06699039675,-62005467627.82594,4248.008365102219,-5288842108.634303,7939.174579948438,-45460261875.92867,-49883933651.82107,-3685575448.7819085,-11982.520723226075,-45460256303.85095,-49883939776.53087,-62005464524.1872,3642784451.5323515,-45460263134.91639,3065.7575890725284,48335801.08816198,-62005466424.64869,-62005468481.63869,10884.221984719403,-49883925774.171295,38842.3352258536,-49883933805.26969
-63188833997.53752,-8448.85182766859,148416187214.90808,-42788614546.96628,-48819.30721421993,7401.345364945101,148416187378.21075,-63188834163.40244,148416187195.2456,-6852.999648727532,-6990.772559226718,-41836.26222917697,-42439028255.571846,-42439028412.93053,148416185929.47375,-63188833770.504715,-5841.542021699011,-42788609214.66633,810.6738605633592,25919615.04605135,-63188834217.58077,-42788613559.49375,2650640618.1522512,148416187507.38657,-42439028538.1517,255212146.20217294,-42788612639.74413,18485.922242215245,298683.2824433943,760767507.5861897,-63188834506.74924,-63188834214.82119,-42439026843.032616,-42439028058.941536,-63188832650.92602,43581.0440759174,-63188833241.17241,-42788612220.839874,-7291.266089688759,-25920201.995901056,-6206.352563697135,-10540.045627249548,-42439028129.9364,255210246.93493,148416187103.2694,-63188834158.71318,4357991829.080797,-63188833567.91152,-4290.760451296541,32738.863779361993,148416186931.41345,-63188834319.57617,-42439030288.693085,-4365.375170340291,-7008644516.74367,-2222.3741967259207,29917.733698758522,148416187667.23965,-4959.023926501961,6247868240.010112,18695.060738007312,-42788609807.198204,-42439027468.79587,-255206177.04674825,-7476.247607029697,-42788616985.53757,-42439028357.911964,148416175214.7058,760771848.1486794,-42788610859.18088,-4191.550138881642,2650649359.9036765,148416187165.4055,148416188512.4164,-25066.008362906574,-42439031689.30312,-42564.861185696725,-42439028348.467125
5052.587067839489,3.4223491342160566,-7002.9708315342305,-3868.332814238157,6.5665444360735785,0.35425821887022696,-7002.880972890024,5052.510305808157,-7002.896945145152,3.928826550968448,2.8414327909218544,-8.490914234585345,5829.0561527660075,5829.065128143249,-7003.633778073908,5052.591527781337,3.272581556498054,-3868.7595627122214,-0.05982620319276158,-1274.5192908480315,5052.618825364186,-3868.2933718498384,-331.24243746449054,-7002.907609407098,5829.153714340002,69.21598529782224,-3868.3803455727743,0.842093826391765,-10.271320655554884,-182.49320558320548,5052.610100158303,5052.610076180552,5829.182078717684,5829.087594739603,5052.564835641274,-2.2009004859765335,5052.559139040429,-3868.405917103307,2.790202424164611,1274.431797262087,3.225186163147311,0.7518600744661704,5829.046812394085,68.74093407203368,-7002.98638534553,5052.609898897456,127.99614060431112,5052.602791185459,0.8660286737266495,-5.911248906769336,-7002.945142286345,5052.583405467431,5829.116430638902,2.469077623727181,208.2071239590653,0.06200620782760282,1.3115501714737676,-7003.008759210882,2.7169919019101445,-20.07634585523594,2.1010096009049573,-3868.712601287043,5829.127433992162,-69.45909355212218,0.39046048293323304,-3868.5804014595706,5829.255423789359,-7003.701587938989,-183.7086437187868,-3868.703251298231,2.4690104009210825,-331.74127429222466,-7002.897846474054,-7003.222453707749,-0.3297568069699978,5829.649410319969,2.0916026358046853,5829.156859772769
